dataset,news_id,rating,title,original_title,news_source,source_link,review_link,criterio_idx,pergunta,resposta,explicacao
HealthStory,story_reviews_00001,3,"In story on experimental contraceptive gel, Reuters lets drug company control the narrative",Evofem's birth control gel meets main study goal; shares rise,Reuters,https://www.reuters.com/article/us-evofem-study/evofems-birth-control-gel-meets-main-study-goal-shares-rise-idUSKBN1OG17J,https://www.healthnewsreview.org/review/in-story-on-experimental-contraceptive-gel-reuters-lets-drug-company-control-the-narrative/,1,Does the story adequately discuss the costs of the intervention?,Not Satisfactory,The story does not mention what the cost might be for the new birth control gel. It’s a useful bit of information in the birth control market with products ranging from a couple dollars for a condom and hundreds of dollars for an IUD. Reporters can ask for estimates or cost-comparisons even for products that are not yet approved or on the market.
HealthStory,story_reviews_00001,3,"In story on experimental contraceptive gel, Reuters lets drug company control the narrative",Evofem's birth control gel meets main study goal; shares rise,Reuters,https://www.reuters.com/article/us-evofem-study/evofems-birth-control-gel-meets-main-study-goal-shares-rise-idUSKBN1OG17J,https://www.healthnewsreview.org/review/in-story-on-experimental-contraceptive-gel-reuters-lets-drug-company-control-the-narrative/,2,Does the story adequately quantify the benefits of the treatment/test/product/procedure?,Satisfactory,"The story briefly describes a study in 1,400 young women, from which researchers calculated that the gel had an 86% efficacy rate — a common measure of birth control efficacy. However, it could have explained that better: In the contraceptive research world, this generally means that the failure rate is 14 pregnancies per 100 women in a year. But researchers only studied the gel for seven menstrual cycles.
The story compares this pregnancy rate to a couple of of other forms of birth control, which is good, but it’s worth pointing out that those failure rates have far more evidence behind them. The efficacy rate for this new product is based on just one industry study.
Also, the story makes a vague reference that the gel may kill “certain viral and bacterial pathogens that can cause sexually transmitted diseases.” Only at the end of the story do we find out that researchers have no data yet for this claim."
HealthStory,story_reviews_00001,3,"In story on experimental contraceptive gel, Reuters lets drug company control the narrative",Evofem's birth control gel meets main study goal; shares rise,Reuters,https://www.reuters.com/article/us-evofem-study/evofems-birth-control-gel-meets-main-study-goal-shares-rise-idUSKBN1OG17J,https://www.healthnewsreview.org/review/in-story-on-experimental-contraceptive-gel-reuters-lets-drug-company-control-the-narrative/,3,Does the story adequately explain/quantify the harms of the intervention?,Satisfactory,"We’ll give this a just-passing satisfactory score because side effects were briefly mentioned: “no serious side effects were observed in the study.” Still we’d like to see mention of less serious side effects, especially for a birth control intervention, because they’re often a significant factor in women’s choices."
HealthStory,story_reviews_00001,3,"In story on experimental contraceptive gel, Reuters lets drug company control the narrative",Evofem's birth control gel meets main study goal; shares rise,Reuters,https://www.reuters.com/article/us-evofem-study/evofems-birth-control-gel-meets-main-study-goal-shares-rise-idUSKBN1OG17J,https://www.healthnewsreview.org/review/in-story-on-experimental-contraceptive-gel-reuters-lets-drug-company-control-the-narrative/,4,Does the story seem to grasp the quality of the evidence? ,Not Satisfactory,"The story gives some study details, regarding the subjects. However, we don’t know the study’s duration, which could affect side effects and efficacy. No mention is made of how the product is used or how compliant study subjects were, which are two key factors for any birth control method. Also, the study details were provided by the company, not by an independently run study, although the story notes this. The fact that the study hasn’t been published and peer reviewed is also not mentioned."
HealthStory,story_reviews_00001,3,"In story on experimental contraceptive gel, Reuters lets drug company control the narrative",Evofem's birth control gel meets main study goal; shares rise,Reuters,https://www.reuters.com/article/us-evofem-study/evofems-birth-control-gel-meets-main-study-goal-shares-rise-idUSKBN1OG17J,https://www.healthnewsreview.org/review/in-story-on-experimental-contraceptive-gel-reuters-lets-drug-company-control-the-narrative/,5,Does the story commit disease-mongering?,Satisfactory,There’s no disease mongering in the story.
HealthStory,story_reviews_00001,3,"In story on experimental contraceptive gel, Reuters lets drug company control the narrative",Evofem's birth control gel meets main study goal; shares rise,Reuters,https://www.reuters.com/article/us-evofem-study/evofems-birth-control-gel-meets-main-study-goal-shares-rise-idUSKBN1OG17J,https://www.healthnewsreview.org/review/in-story-on-experimental-contraceptive-gel-reuters-lets-drug-company-control-the-narrative/,6,Does the story use independent sources and identify conflicts of interest?,Not Satisfactory,"With a new birth control product, we’d like to see comments from independent physicians or researchers that are experts in the field–and we think this is something investors would value seeing, too. However, this story quotes the CEO of the product’s maker, as well as two business analysts."
HealthStory,story_reviews_00001,3,"In story on experimental contraceptive gel, Reuters lets drug company control the narrative",Evofem's birth control gel meets main study goal; shares rise,Reuters,https://www.reuters.com/article/us-evofem-study/evofems-birth-control-gel-meets-main-study-goal-shares-rise-idUSKBN1OG17J,https://www.healthnewsreview.org/review/in-story-on-experimental-contraceptive-gel-reuters-lets-drug-company-control-the-narrative/,7,Does the story compare the new approach with existing alternatives?,Not Satisfactory,"The story mentions other birth control products, such as male condoms and birth control pills.
However, the story sharply misleads readers by claiming that the positive results with the gel brings: “the first hormone-free contraceptive close to approval.” That’s simply wrong. Current hormone-free products include male condoms, copper IUDs, diaphragms, and cervical caps."
HealthStory,story_reviews_00001,3,"In story on experimental contraceptive gel, Reuters lets drug company control the narrative",Evofem's birth control gel meets main study goal; shares rise,Reuters,https://www.reuters.com/article/us-evofem-study/evofems-birth-control-gel-meets-main-study-goal-shares-rise-idUSKBN1OG17J,https://www.healthnewsreview.org/review/in-story-on-experimental-contraceptive-gel-reuters-lets-drug-company-control-the-narrative/,8,Does the story establish the availability of the treatment/test/product/procedure?,Satisfactory,"The story makes clear that this a product under development, not yet approved or marketed."
HealthStory,story_reviews_00001,3,"In story on experimental contraceptive gel, Reuters lets drug company control the narrative",Evofem's birth control gel meets main study goal; shares rise,Reuters,https://www.reuters.com/article/us-evofem-study/evofems-birth-control-gel-meets-main-study-goal-shares-rise-idUSKBN1OG17J,https://www.healthnewsreview.org/review/in-story-on-experimental-contraceptive-gel-reuters-lets-drug-company-control-the-narrative/,9,Does the story establish the true novelty of the approach?,Satisfactory,"The story describes how the new product differs from male condoms — “woman-controlled” — and how it differs from oral pills — “non-hormonal.” But this isn’t novel, as we describe in alternatives.
Although testing is still underway, as the story notes, what’s interesting is that the gel may have some effectiveness against some sexually transmitted diseases, which would make it different from most other forms of female-based contraceptives. We think the story should have provided more information/evidence about this claim, though."
HealthStory,story_reviews_00001,3,"In story on experimental contraceptive gel, Reuters lets drug company control the narrative",Evofem's birth control gel meets main study goal; shares rise,Reuters,https://www.reuters.com/article/us-evofem-study/evofems-birth-control-gel-meets-main-study-goal-shares-rise-idUSKBN1OG17J,https://www.healthnewsreview.org/review/in-story-on-experimental-contraceptive-gel-reuters-lets-drug-company-control-the-narrative/,10,Does the story appear to rely solely or largely on a news release?,Satisfactory,The story appears to go beyond the company news release.
HealthStory,story_reviews_00002,2,"Using a single patient anecdote, ABC News hails DNA fertility test as ‘breakthrough’",How a breakthrough new fertility test is offering hope for families who have suffered miscarriages,ABCNews.com,https://abcnews.go.com/GMA/Wellness/breakthrough-fertility-test-offering-hope-familys-suffered-miscarriages/story?id=59811741,https://www.healthnewsreview.org/review/using-a-single-patient-anecdote-abc-news-hails-dna-fertility-test-as-breakthrough/,1,Does the story adequately discuss the costs of the intervention?,Not Satisfactory,"This is a tossup. In the online text piece there was no discussion of costs, nor of whether insurers were likely to reimburse for the procedure.
If online readers clicked on the video at the top of the piece – and sat through a Ford commercial or some other ad – they would hear that the testing can cost from $800 to $1,000 and is not covered by insurance.
But we still have questions. There is no discussion online or on-the-air about what the total package of treatment – including the implantation and followup – costs.
So in the end, we rate this confusion as unsatisfactory."
HealthStory,story_reviews_00002,2,"Using a single patient anecdote, ABC News hails DNA fertility test as ‘breakthrough’",How a breakthrough new fertility test is offering hope for families who have suffered miscarriages,ABCNews.com,https://abcnews.go.com/GMA/Wellness/breakthrough-fertility-test-offering-hope-familys-suffered-miscarriages/story?id=59811741,https://www.healthnewsreview.org/review/using-a-single-patient-anecdote-abc-news-hails-dna-fertility-test-as-breakthrough/,2,Does the story adequately quantify the benefits of the treatment/test/product/procedure?,Not Satisfactory,"No information is provided about how many women have been treated with this approach – only that it is “not many.”  So there is no context for readers (or ABC’s viewers) to be able to judge what the likelihood of benefit is.  They hear only one satisfied success story.
Biomarkers for endometrial receptivity have been under study for over a decade, but there have been few studies to validate specific biomarkers such as DNA testing."
HealthStory,story_reviews_00002,2,"Using a single patient anecdote, ABC News hails DNA fertility test as ‘breakthrough’",How a breakthrough new fertility test is offering hope for families who have suffered miscarriages,ABCNews.com,https://abcnews.go.com/GMA/Wellness/breakthrough-fertility-test-offering-hope-familys-suffered-miscarriages/story?id=59811741,https://www.healthnewsreview.org/review/using-a-single-patient-anecdote-abc-news-hails-dna-fertility-test-as-breakthrough/,3,Does the story adequately explain/quantify the harms of the intervention?,Not Satisfactory,"The way ABC addressed potential harms is peculiar.
The online story concludes:
One risk of the procedure many women may not take into account is the emotional effects of it not working and you still miscarrying, Shepherd said. It is a new process and important to go over the risks of the procedure — which can vary per person — with your health care provider.
OK, that’s one risk.  Are there others?  This excerpt states that it’s “important to go over the risks” – plural.  If they are so important, why wouldn’t they be mentioned – along with some estimate of how often they are likely to occur – in a nationally broadcast and online news story?"
HealthStory,story_reviews_00002,2,"Using a single patient anecdote, ABC News hails DNA fertility test as ‘breakthrough’",How a breakthrough new fertility test is offering hope for families who have suffered miscarriages,ABCNews.com,https://abcnews.go.com/GMA/Wellness/breakthrough-fertility-test-offering-hope-familys-suffered-miscarriages/story?id=59811741,https://www.healthnewsreview.org/review/using-a-single-patient-anecdote-abc-news-hails-dna-fertility-test-as-breakthrough/,4,Does the story seem to grasp the quality of the evidence? ,Not Satisfactory,"The plural of anecdote is not data.  And we learn of only one anecdote.  No context is provided about how many times this approach has been tried and by how many physicians in how many settings.
The on-air demonstration of how the soil jars and the flower are exactly like the uterus seemed like something out of a fifth grade science class."
HealthStory,story_reviews_00002,2,"Using a single patient anecdote, ABC News hails DNA fertility test as ‘breakthrough’",How a breakthrough new fertility test is offering hope for families who have suffered miscarriages,ABCNews.com,https://abcnews.go.com/GMA/Wellness/breakthrough-fertility-test-offering-hope-familys-suffered-miscarriages/story?id=59811741,https://www.healthnewsreview.org/review/using-a-single-patient-anecdote-abc-news-hails-dna-fertility-test-as-breakthrough/,5,Does the story commit disease-mongering?,Satisfactory,"The story did explain that “the ideal candidates are women who have had three or more miscarriages or women over 40, but emphasized that the test is not for everyone and infertility is a spectrum.” And it offered an estimated of 12% of couples with infertility problems."
HealthStory,story_reviews_00002,2,"Using a single patient anecdote, ABC News hails DNA fertility test as ‘breakthrough’",How a breakthrough new fertility test is offering hope for families who have suffered miscarriages,ABCNews.com,https://abcnews.go.com/GMA/Wellness/breakthrough-fertility-test-offering-hope-familys-suffered-miscarriages/story?id=59811741,https://www.healthnewsreview.org/review/using-a-single-patient-anecdote-abc-news-hails-dna-fertility-test-as-breakthrough/,6,Does the story use independent sources and identify conflicts of interest?,Satisfactory,"We’ll award a hesitant satisfactory score for this criterion.
The fertility specialist who treated the woman profiled in the story was interviewed.  And so was another OB-Gyn, but no explanation was given of where she works or why she was chosen to be interviewed.
So we don’t know if she’s connected in some way with the fertility center in question."
HealthStory,story_reviews_00002,2,"Using a single patient anecdote, ABC News hails DNA fertility test as ‘breakthrough’",How a breakthrough new fertility test is offering hope for families who have suffered miscarriages,ABCNews.com,https://abcnews.go.com/GMA/Wellness/breakthrough-fertility-test-offering-hope-familys-suffered-miscarriages/story?id=59811741,https://www.healthnewsreview.org/review/using-a-single-patient-anecdote-abc-news-hails-dna-fertility-test-as-breakthrough/,7,Does the story compare the new approach with existing alternatives?,Not Satisfactory,The fertility test in question was called a breakthrough.  But readers and viewers are given no evidence-based comparison between it and the countless other methods to try to help infertile couples.
HealthStory,story_reviews_00002,2,"Using a single patient anecdote, ABC News hails DNA fertility test as ‘breakthrough’",How a breakthrough new fertility test is offering hope for families who have suffered miscarriages,ABCNews.com,https://abcnews.go.com/GMA/Wellness/breakthrough-fertility-test-offering-hope-familys-suffered-miscarriages/story?id=59811741,https://www.healthnewsreview.org/review/using-a-single-patient-anecdote-abc-news-hails-dna-fertility-test-as-breakthrough/,8,Does the story establish the availability of the treatment/test/product/procedure?,Not Satisfactory,"The online text piece doesn’t offer any information about how often this approach has been tried – or in how many settings.  Only that it hasn’t been done “on many” women.
Does that mean five times, 50?  In one setting, in 10?
Neither readers nor viewers are given appropriate context.
There is little published information on DNA testing for endometrial receptivity and there is no test available for clinical use to my knowledge."
HealthStory,story_reviews_00002,2,"Using a single patient anecdote, ABC News hails DNA fertility test as ‘breakthrough’",How a breakthrough new fertility test is offering hope for families who have suffered miscarriages,ABCNews.com,https://abcnews.go.com/GMA/Wellness/breakthrough-fertility-test-offering-hope-familys-suffered-miscarriages/story?id=59811741,https://www.healthnewsreview.org/review/using-a-single-patient-anecdote-abc-news-hails-dna-fertility-test-as-breakthrough/,9,Does the story establish the true novelty of the approach?,Not Satisfactory,Basic questions that were never addressed:
HealthStory,story_reviews_00002,2,"Using a single patient anecdote, ABC News hails DNA fertility test as ‘breakthrough’",How a breakthrough new fertility test is offering hope for families who have suffered miscarriages,ABCNews.com,https://abcnews.go.com/GMA/Wellness/breakthrough-fertility-test-offering-hope-familys-suffered-miscarriages/story?id=59811741,https://www.healthnewsreview.org/review/using-a-single-patient-anecdote-abc-news-hails-dna-fertility-test-as-breakthrough/,10,Does the story appear to rely solely or largely on a news release?,Satisfactory,"Again, we’ll award a generous grade of Satisfactory here.
ABC acknowledges that it based its story on a National Geographic special.
But there is no evidence that it copied from a news release."
HealthStory,story_reviews_00003,2,Hard to find the journalism in this brief Reuters story on clinical trial results for psoriasis drug,J&J says its psoriasis drug superior to Novartis' in study,Reuters,https://www.reuters.com/article/us-j-j-drug-psoriasis/jj-says-its-psoriasis-drug-superior-to-novartis-in-study-idUSKBN1OB1D3,https://www.healthnewsreview.org/review/hard-to-find-the-journalism-in-this-brief-reuters-story-on-clinical-trial-results-for-psoriasis-drug/,1,Does the story adequately discuss the costs of the intervention?,Not Satisfactory,"A cost comparison of the two drugs highlighted in the study — Johnson & Johnson’s Tremfya and Cosentyx from Novartis AG — wasn’t provided and would have been helpful.
The list price of a 100-mg dose of Tremfya (to be given once every two months) is about $10,000. For Cosentyx, around $4,700 (unclear if dosing is equivalent to Tremfya).
Regardless, drug costs for severe cases of psoriasis can quickly get into the tens of thousands of dollars for some patients."
HealthStory,story_reviews_00003,2,Hard to find the journalism in this brief Reuters story on clinical trial results for psoriasis drug,J&J says its psoriasis drug superior to Novartis' in study,Reuters,https://www.reuters.com/article/us-j-j-drug-psoriasis/jj-says-its-psoriasis-drug-superior-to-novartis-in-study-idUSKBN1OB1D3,https://www.healthnewsreview.org/review/hard-to-find-the-journalism-in-this-brief-reuters-story-on-clinical-trial-results-for-psoriasis-drug/,2,Does the story adequately quantify the benefits of the treatment/test/product/procedure?,Satisfactory,"From the story:
After 48 weeks of therapy, 84.5 percent of patients treated with Tremfya showed 90 percent improvement in disease symptoms [as measured by the Psoriasis Area Severity Index (PASI)], while only 70 percent of those treated with Cosentyx showed similar results.
It’s also noted that Cosentyx had a “slightly more rapid onset of response.” This is just enough to merit a satisfactory rating.
What’s not mentioned is that superiority of Tremfya was NOT demonstrated in five secondary endpoints. (As noted in this news release from Janssen Pharmaceutical Companies of Johnson & Johnson.) Also, we also think it would be valuable to tap an independent source to answer: How clinically significant is it that 14.5% of patients did better on Janssen’s Tremfya?"
HealthStory,story_reviews_00003,2,Hard to find the journalism in this brief Reuters story on clinical trial results for psoriasis drug,J&J says its psoriasis drug superior to Novartis' in study,Reuters,https://www.reuters.com/article/us-j-j-drug-psoriasis/jj-says-its-psoriasis-drug-superior-to-novartis-in-study-idUSKBN1OB1D3,https://www.healthnewsreview.org/review/hard-to-find-the-journalism-in-this-brief-reuters-story-on-clinical-trial-results-for-psoriasis-drug/,3,Does the story adequately explain/quantify the harms of the intervention?,Not Satisfactory,"Since Tremfya is known to weaken the immune system, it places patients at an increased risk of bacterial, fungal, and viral infections.
People taking this drug, and other immunosuppressives like it, must be screened for tuberculosis, since it could dramatically accelerate the disease.
None of this was mentioned."
HealthStory,story_reviews_00003,2,Hard to find the journalism in this brief Reuters story on clinical trial results for psoriasis drug,J&J says its psoriasis drug superior to Novartis' in study,Reuters,https://www.reuters.com/article/us-j-j-drug-psoriasis/jj-says-its-psoriasis-drug-superior-to-novartis-in-study-idUSKBN1OB1D3,https://www.healthnewsreview.org/review/hard-to-find-the-journalism-in-this-brief-reuters-story-on-clinical-trial-results-for-psoriasis-drug/,4,Does the story seem to grasp the quality of the evidence? ,Not Satisfactory,"The results come from this Janssen-sponsored Eclipse trial — a phase 3, multi-center, randomized, double blind comparison of Tremfya, and the competing drug Cosentyx (from Novartis AG). However, the story provided scant details on the study, so readers would be unable to establish the quality of the evidence without going and looking up the study details. Was it randomized and blinded? What were the limitations? Has the trial been peer reviewed and published? Those are the details we’re looking for."
HealthStory,story_reviews_00003,2,Hard to find the journalism in this brief Reuters story on clinical trial results for psoriasis drug,J&J says its psoriasis drug superior to Novartis' in study,Reuters,https://www.reuters.com/article/us-j-j-drug-psoriasis/jj-says-its-psoriasis-drug-superior-to-novartis-in-study-idUSKBN1OB1D3,https://www.healthnewsreview.org/review/hard-to-find-the-journalism-in-this-brief-reuters-story-on-clinical-trial-results-for-psoriasis-drug/,5,Does the story commit disease-mongering?,Satisfactory,"No disease mongering.
The story does well to inform readers that plaque psoriasis is fairly common, affecting about 7.5 million Americans."
HealthStory,story_reviews_00003,2,Hard to find the journalism in this brief Reuters story on clinical trial results for psoriasis drug,J&J says its psoriasis drug superior to Novartis' in study,Reuters,https://www.reuters.com/article/us-j-j-drug-psoriasis/jj-says-its-psoriasis-drug-superior-to-novartis-in-study-idUSKBN1OB1D3,https://www.healthnewsreview.org/review/hard-to-find-the-journalism-in-this-brief-reuters-story-on-clinical-trial-results-for-psoriasis-drug/,6,Does the story use independent sources and identify conflicts of interest?,Not Satisfactory,"Two glaring problems here.
First, the only quote used in this very short story is directly lifted (without attribution) from the news release. No independent sources are included.
Furthermore, it says it comes from the lead investigator of the study (true), but fails to mention he’s a paid consultant for Janssen."
HealthStory,story_reviews_00003,2,Hard to find the journalism in this brief Reuters story on clinical trial results for psoriasis drug,J&J says its psoriasis drug superior to Novartis' in study,Reuters,https://www.reuters.com/article/us-j-j-drug-psoriasis/jj-says-its-psoriasis-drug-superior-to-novartis-in-study-idUSKBN1OB1D3,https://www.healthnewsreview.org/review/hard-to-find-the-journalism-in-this-brief-reuters-story-on-clinical-trial-results-for-psoriasis-drug/,7,Does the story compare the new approach with existing alternatives?,Not Satisfactory,"Another weakness of this story is that alternatives are not mentioned. In addition to a multitude of other immunosuppressant drugs, there are a host of treatments available for adults with moderate to severe plaque psoriasis, including:
Light therapy, Vitamin A & D derivatives, as well as other medications that don’t work via immune system suppression.
Also, bear in mind, these are symptomatic treatments only, since there is no known cure for psoriasis."
HealthStory,story_reviews_00003,2,Hard to find the journalism in this brief Reuters story on clinical trial results for psoriasis drug,J&J says its psoriasis drug superior to Novartis' in study,Reuters,https://www.reuters.com/article/us-j-j-drug-psoriasis/jj-says-its-psoriasis-drug-superior-to-novartis-in-study-idUSKBN1OB1D3,https://www.healthnewsreview.org/review/hard-to-find-the-journalism-in-this-brief-reuters-story-on-clinical-trial-results-for-psoriasis-drug/,8,Does the story establish the availability of the treatment/test/product/procedure?,Satisfactory,"Availability is implied but it should have been made more clear when these drugs received FDA approval, and what they’re approved for."
HealthStory,story_reviews_00003,2,Hard to find the journalism in this brief Reuters story on clinical trial results for psoriasis drug,J&J says its psoriasis drug superior to Novartis' in study,Reuters,https://www.reuters.com/article/us-j-j-drug-psoriasis/jj-says-its-psoriasis-drug-superior-to-novartis-in-study-idUSKBN1OB1D3,https://www.healthnewsreview.org/review/hard-to-find-the-journalism-in-this-brief-reuters-story-on-clinical-trial-results-for-psoriasis-drug/,9,Does the story establish the true novelty of the approach?,Not Satisfactory,"There are a number of other biologic drugs that treat psoriasis by altering the immune system (this makes sense, because psoriasis is an autoimmune condition), but Tremfya blocks a specific part of the immune system that has not been targeted before. In other words, it is “first in class.” The article does not touch on this."
HealthStory,story_reviews_00003,2,Hard to find the journalism in this brief Reuters story on clinical trial results for psoriasis drug,J&J says its psoriasis drug superior to Novartis' in study,Reuters,https://www.reuters.com/article/us-j-j-drug-psoriasis/jj-says-its-psoriasis-drug-superior-to-novartis-in-study-idUSKBN1OB1D3,https://www.healthnewsreview.org/review/hard-to-find-the-journalism-in-this-brief-reuters-story-on-clinical-trial-results-for-psoriasis-drug/,10,Does the story appear to rely solely or largely on a news release?,Not Satisfactory,"The only quote used is drawn directly from the news release, without attribution."
