original_file_id,press_release_conclusion,press_release_strength,abstract_conclusion,abstract_strength,exaggeration_label
13-11-015-1,"The clinical trial led by Newcastle University shows that the drug, idebenone (Catena®), improved the vision and perception of colour in patients with Leber’s Hereditary Optic Neuropathy (LHON).",3,"However, post hoc interaction analysis showed a different response to idebenone in patients with discordant visual acuities at baseline; in these patients, all secondary end-points were significantly different between the idebenone and placebo groups.",1,exaggerates
04-008,"People with type 2 diabetes treated with insulin plus metformin had a reduced risk of death and major cardiac events compared with people treated with insulin alone, according to University research.",1,People with type 2 diabetes treated with insulin plus concomitant metformin had a reduced risk of death and MACE compared with people treated with insulin monotherapy.,1,same
07-11-001-1,"Scientists have identified a protein that acts as a “master switch” in certain white blood cells, determining whether they promote or inhibit inflammation. The study, published in the journal Nature Immunology, could help researchers look for new treatments for diseases such as rheumatoid arthritis that involve excessive inflammation.",3,"High expression of IRF5 was characteristic of M1 macrophages, in which it directly activated transcription of the genes encoding interleukin 12 subunit p40 (IL-12p40), IL-12p35 and IL-23p19 and repressed the gene encoding IL-10.",3,same
02-11-004-1,"Describing their findings in the journal, Evolution and Human Behavior, the team of researchers prove that eating plenty of fruit and vegetables is by far the most effective way to achieve a healthy, golden glow.",3,Study 2 shows that individuals with higher dietary intakes of carotenoids and fruit and vegetables have increased skin b * values and show skin reflectance spectra consistent with enhanced carotenoid absorption.,3,same
25-078,"Migraine should be considered an important risk marker for cardiovascular disease, say experts",1,"Results of this large, prospective cohort study in women with more than 20 years of follow-up indicate a consistent link between migraine and cardiovascular disease events, including cardiovascular mortality.",1,same
03-11-014-1,Cambridge research funded by the health charity Diabetes UK has for the first time successfully demonstrated the potential of an ‘artificial pancreas’ in preventing night-time hypoglycaemia in adults with Type 1 diabetes.,2,These two small crossover trials suggest that closed loop delivery of insulin may improve overnight control of glucose levels and reduce the risk of nocturnal hypoglycaemia in adults with type 1 diabetes.,2,same
19-11-014-1,"In the first functional MRI brain scan study to investigate the impact of physical abuse and domestic violence on children, scientists at UCL in collaboration with the Anna Freud Centre, found that exposure to family violence was associated with increased brain activity in two specific brain areas (the anterior insula and the amygdala) when children viewed pictures of angry faces.",1,We demonstrated that children exposed to family violence (with normative levels of anxiety) show increased AI and amygdala reactivity in response to angry but not sad faces.,1,same
25-146,"Pubic hair grooming is linked to a heightened risk of acquiring a sexually transmitted infection, finds research published online in the journal Sexually Transmitted Infections.",1,"Among a representative sample of US residents, pubic hair grooming was positively related to self-reported STI history.",1,same
26-005,"A combination of a carbon tax on food and a tax on sugary drinks in the UK could lead to health benefits, reduce greenhouse gas emissions and raise up to GB£3.6 billion revenue, according to research published in the open access journal BMC Public Health.",2,The simple addition of a tax on SSBs can mitigate negative health consequences arising from sugar being low in GHGEs.,2,same
07-11-035-1,"Scientists have found that the Endog gene in rats and mice influences the thickness of the muscular heart wall, how well the heart pumps and how much fat accumulates inside the organ.",3,Inhibition of Endog in cultured cardiomyocytes resulted in an increase in cell size and hypertrophic biomarkers in the absence of pro-hypertrophic stimulation.,3,same
25-143,"Starting testosterone treatment is associated with an increased risk of serious blood clots (known as venous thromboembolism or VTE) that peaks within six months and declines gradually thereafter, concludes a study in The BMJ today.",1,"Starting testosterone treatment was associated with an increased risk of venous thromboembolism, which peaked within six months and declined thereafter.",1,same
25-062,They don't curb demand or improve throughput and set-up costs dwarf marginal savings,0,There is little evidence to support the implementation of co-located UCC models.,0,same
05-11-033-1,Genetic mutations,3,"In a sample of 662 schizophrenia proband–parent trios, we found that rare de novo CNV mutations were significantly more frequent in cases (5.1% all cases, 5.5% family history negative) compared with 2.2% among 2623 controls, confirming the involvement of de novo CNVs in the pathogenesis of schizophrenia.",3,same
25-181,Better air quality standards in China could save 3 million early deaths each year,2,Particulate air pollution has a greater impact on deaths from cardiorespiratory diseases than it does on other cause mortality.,3,downplays
13-11-003-1,Organic supermarket milk showed higher levels of nutritionally beneficial fatty acids compared with ‘ordinary’ milk regardless of the time of year or weather conditions.,3,This study of UK retail milk identified highly significant variations in fat composition.,1,exaggerates
10-11-014-1,"Researchers at the University of Liverpool have found that the strength of uterine contractions in diabetic pregnant women is significantly weaker than in non-diabetic women, increasing the risk of emergency caesarean birth.",1,These are the first data investigating myometrium in diabetic patients and they support the hypothesis that there is poorer contractility even in the presence of oxytocin.,1,same
14-11-014-1,"Female drink-drivers are more likely to be older, better-educated and divorced, widowed or separated, research has shown.",1,"Alcohol increases the likelihood of violence for both men and women, and, while the mechanisms whereby alcohol increases the likelihood of violence are likely the same in men and women, the effect may be moderated by gender-associated issues.",3,downplays
26-037,A computer method called ZeitZeiger that uses a sample of blood to accurately predict circadian time - the time of day according to a person's body clock - is described in new research published in the open access journal Genome Medicine.,1,Each of these strategies improved prediction of CT by ~20%.,1,same
25-167,Most off-label antidepressant prescriptions lack strong scientific evidence,0,"When primary care physicians prescribed antidepressants for off-label indications, these indications were usually not supported by strong scientific evidence, yet often another antidepressant in the same class existed that had strong evidence for the respective indication.",0,same
06-11-021-1,"Facial expressions have been called the “universal language of emotion,” but people from different cultures perceive happy, sad or angry facial expressions in unique ways, according to new research from the University of Glasgow.",1,"For the first time, it is revealed directly that culture can finely shape the internal representations of common facial expressions of emotion, challenging notions of a biologically hardwired ""universal language of emotion.""",3,downplays
03-11-010-1,Happy children make happy adults,3,"From this longitudinal study, we conclude that childhood well-being predicts positive adult wellbeing, and not merely the absence of mental ill-health.",1,exaggerates
08-11-002-1,Self-control predicts health and wealth,3,"Following a cohort of 1,000 children from birth to the age of 32 y, we show that childhood self-control predicts physical health, substance dependence, personal finances, and criminal offending outcomes, following a gradient of self-control.",3,same
02-11-026-1,"The study, led by Dr Jonathan Banks from the University’s School of Social and Community Medicine and published today [27 July] in the British Journal of General Practice, has found that when families were presented with an opportunity to discuss their child’s weight with their GP, fewer than one in six families engaged in a weight-related discussion with their GP, and fewer than one in 11 were referred for any weight-management service.",1,The low take-up following the mail-out of an invitation to consult highlights the inherent difficulties of engaging families and their obese children in care pathways that facilitate long-term weight management.,1,same
15-11-022-1,"Tiny electric currents applied across regions of the brain can improve hand movements in recovering stroke patients for a short period, an Oxford University study has demonstrated.",2,We show for the first time that the significant behavioural improvements produced by anodal stimulation to the ipsilesional hemisphere are associated with a functionally relevant increase in activity within the ipsilesional primary motor cortex in patients with a wide range of disabilities following stroke.,3,downplays
17-11-010-1,Emergency department target may not have improved patient care,0,The introduction of a time target reduced the proportion of patients staying greater than 4 hours.,3,downplays
20-11-006-1,"The number of children dying a violent death has fallen substantially in England and Wales over the past 30 years, reveals research from Warwick Medical School published ahead of print in Archives of Disease in Childhood.",1,These data provide evidence that rates of violent death in infancy and middle childhood have fallen over the past 30 years.,1,same
02-11-028-1,"According to new research, by defining pre-eclampsia instead as the extreme end of blood pressure (BP) risk in pregnancy, more women who are at risk could be identified.",2,"Established preeclampsia risk factors are associated with higher BP in early pregnancy and faster BP increases later in gestation in normal pregnancy, suggesting a continuum of risk.",1,exaggerates
22-015,"A region of the brain that responds to bad experiences has the opposite reaction to expectations of aversive events in people with depression compared to healthy adults, finds a new UCL study funded by the Medical Research Council.",1,MDD subjects exhibited abnormal negative task-related (phasic) habenula responses during primary aversive conditioning.,1,same
12-11-004-1,University of Manchester scientists have shown that a protein involved in blood clotting can be used to diagnose and subsequently monitor the treatment of a group of childhood genetic diseases.,2,"Serum HCII-T is elevated approximately 25-fold in MPS diseases that store DS, clearly distinguishing untreated MPSI, II and VI patients from unaffected age-matched controls.",3,downplays
14-11-005-1,Pay for performance targets set for GPs in the UK are failing to improve the health of patients with high blood pressure.,0,Pay for performance had no discernible effects on processes of care or on hypertension related clinical outcomes.,0,same
02-11-020-1,"Plain cigarette packaging could help prevent people taking up the habit but would have little effect on those who already smoke on a daily basis, according to new research from the UK Centre for Tobacco Studies (UKCTCS), which has bases at the Universities of Bristol and Bath.",2,"Among non-smokers and non-daily cigarette smokers, plain packaging appears to increase visual attention towards health warning information and away from brand information.",2,same
25-011,Infants under 12 months most at risk of physical abuse,0,"These children tend to be under 12 months of age, with more severe injury.",0,same
07-11-040-1,"Young adults who were born prematurely show multiple biological signs of risks to future health, research from Imperial College London has found.",1,"We have identified multiple premorbid biomarkers in ex-preterm young adults, which are most marked in men and indicative of risks to later wellbeing.",1,same
04-001,"Scientists have discovered what they believe has the potential to prevent the onset of an aggressive and hard-to-treat form of rheumatoid arthritis - a condition that affects 700,000 adults in the UK.",2,"Thus, IL-27 appears to negatively regulate ELS development in RA through control of effector",2,same
22-018,"Smoking the equivalent of a single ‘spliff’ of cannabis makes people less willing to work for money while ‘high’, finds a new UCL study.",3,Cannabis acutely induced a transient amotivational state and CBD influenced the effects of THC on expected value.,3,same
05-11-019-1,"Nanotubes pose health risk, study shows",3,"Our data confirm the hypothesis that, although a proportion of all deposited particles passes through the pleura, the pathogenicity of long CNTs and other fibers arises as a result of length-dependent retention at the stomata on the parietal pleura.",3,same
07-11-042-1,Improved technology may obviate need for drug when assessing patients for a coronary stent,2,The instantaneous wave-free ratio calculated over this period produces a drug-free index of stenosis severity comparable to FFR.,3,downplays
25-162,"In the United States, patient death rates are lower for internationally trained graduates than for graduates from a US medical school, despite international graduates caring for patients with higher rates of chronic conditions, finds a study published by The BMJ today.",1,Data on older Medicare patients admitted to hospital in the US showed that patients treated by international graduates had lower mortality than patients cared for by US graduates.,0,exaggerates
25-091,"Less than 60% of premature babies born in 11 European countries receive a package of four simple, widely available care measures known to improve survival, finds a study in The BMJ today.",0,"More comprehensive use of evidence based practices in perinatal medicine could result in considerable gains for very preterm infants, in terms of increased survival without severe morbidity.",2,downplays
22-014,"Fruit flies live 16% longer than average when given low doses of the mood stabiliser lithium, according to a UCL-led study.",3,"Combining genetic loss of the NRF-2 repressor Kelch-like ECH-associated protein 1 (Keap1) with lithium treatment revealed that high levels of NRF-2 activation conferred stress resistance, while low levels additionally promoted longevity.",3,same
25-130,"Method cheap and accessible; in two-thirds of cases detected, there were no symptoms",3,Community screening for AF with SL-ECG was feasible and it identified a significant proportion of citizens with newly diagnosed AF.,3,same
03-11-046-1,"New research provides evidence for significant differences between new and old red blood cells used for transfusions and could provide a cheap, rapid and effective way to monitor the quality of blood supplies.",1,"Close correlation was found between the surface charge on an aging RBC and its structure and functions, from the cell morphology, the membrane deformability to the intracellular Hb structure and oxidation ability.",1,same
02-11-009-1,A new study suggests that transport plans aimed at reducing car usage should be considered as a feasible and effective strategy for increasing physical activity among the workforce and improving health.,3,This study suggests that transport plans aimed at reducing car usage should be considered as a feasible and effective strategy for increasing health-enhancing physical activity among the workforce.,3,same
19-11-006-1,Birth defects linked to smoking in pregnancy,1,Birth defects that are positively associated with maternal smoking should now be included in public health educational materials to encourage more women to quit before or during pregnancy.,1,same
22-031,"The common antibiotic doxycycline can disrupt the formation of negative associations in the brain, according to new research from UCL and the University of Zurich.",2,"We find that recall of threat memory, measured with fear-potentiated startle 7 days after acquisition, is attenuated by ~60% in individuals who were under doxycycline during acquisition.",3,downplays
25-060,"Use of cannabis during pregnancy is linked to low birthweight and the need for intensive care, reveals an analysis of the available evidence, published in the online journal BMJ Open.",1,Use of cannabis during pregnancy may increase adverse outcomes for women and their neonates.,2,downplays
13-11-004-1,"Connections made in our brains during the early years of our life could be the key to healthy mental development, Newcastle University scientists have found.",2,"In conclusion, the sequence of neural network development highlights the possibility of early contact or interaction in securing long-distance and high-degree connectivity.",1,exaggerates
15-11-010-1,"A new drug for the muscle-wasting disease Duchenne muscular dystrophy has shown significant benefits in mice, opening the door for clinical trials.",3,"The best compound identified, SMT C1100, demonstrated significant disease modifying effects in DMD models.",3,same
25-126,Manuka honey curbs activity and growth of bacteria even at low dilutions,3,Manuka honey at dilutions as low as 3.3% w/v in some protocols and at 10% or above in all protocols tested significantly inhibits bacterial attachment to a vinyl substrate and reduces further early biofilm development.,3,same
15-11-015-1,"An international study suggests that giving vitamin A supplements to children in low and middle income countries could significantly cut rates of mortality, illnesses and blindness amongst those below the age of five.",2,Vitamin A supplementation is associated with large reductions in mortality,1,exaggerates
20-11-012-1,MRI study finds that depression uncouples brain’s hate circuit,3,This is the first evidence for the involvement of the ‘hate circuit’ in depression and suggests a potential reappraisal of the key neural circuitry involved.,3,same
10-11-001-1,Scientists at the University of Liverpool have discovered that treating the immune system of patients with Complex Regional Pain Syndrome (CPRS) leads to a significant reduction in pain.,3,"IVIG, 0.5 g/kg, can reduce pain in refractory CRPS.",2,exaggerates
03-11-034-1,"Medicines which increase levels of the brain chemical dopamine may hold the key to helping those addicted to cocaine and amphetamines kick the habit, researchers from the University of Cambridge have found.",2,The beneficial effects of a dopamine agonist drug challenge on both behavior and associated brain activation in SDIs may indicate new avenues for pharmacologic treatment in stimulant dependence.,2,same
25-199,But treating high volumes of patients seems to have a protective effect,2,"Within the same hospital, patients treated by older physicians had higher mortality than patients cared for by younger physicians, except those physicians treating high volumes of patients.",1,exaggerates
19-11-003-1,Look at your body to reduce pain,3,These results demonstrate that pain perception depends on multisensory representations of the body and that visual distortions of body size modulate sensory components of pain.,3,same
11-11-001-1,"The findings, published today in the Journal of Human Genetics, are the first to show a direct link between a specific genetic condition and a person’s happiness, as measured by their satisfaction with life.",1,"A case–control association study on a representative sample of Americans (N¼2574) finds that individuals with the transcriptionally more efficient version of the serotonin transporter gene, report significantly higher levels of life satisfaction (P¼0.01).",1,same
03-11-029-1,Serotonin levels affect the brain’s response to anger,3,We provide strong support for neurobiological accounts positing that 5-HT significantly influences PFC – amygdala circuits implicated in aggression and other affective behaviors.,3,same
22-010,"Pregnant women would be willing to trial maternal growth factor gene therapy to treat severe early-onset fetal growth restriction (FGR) in their unborn babies, according to a new study. If the proposed trial goes ahead it is likely to be the first time maternal gene therapy has ever been used.",0,This study did not identify any fundamental or insurmountable objections to a trial of maternal gene therapy for severe early-onset FGR.,0,same
14-11-020-1,New risk score spots patients at high risk of serious blood clots,2,We have developed and validated a new risk prediction model that quantifies absolute risk of thrombosis at 1 and 5 years.,2,same
25-117,"School sex education often negative, heterosexist, and out of touch",0,SRE should be ‘sex-positive’ and delivered by experts who maintain clear boundaries with students.,0,same
01-11-015-1,"Research results published online today (18 August 2011) in the journal Investigational New Drugs show significant success in ‘redesigning the designer drug’ for potential use as a cancer-killing agent in the treatment of leukaemia, lymphoma and myeloma.",2,"From an initial analysis of MDMA analogues synthesized with a modified α-substituent, it was found that incorporating a phenyl group increased potency against sensitive, Bcl-2-deplete, Burkitt's lymphoma (BL) cells 10-fold relative to MDMA.",3,downplays
13-11-006-1,"The researchers are the first in the world to identify the rare syndrome, which devastates the immune system and can lead to hereditary leukaemia and lung disease.",3,"We show that a recently described syndrome of monocytopenia, B and NK lymphoid deficiency additionally includes the near absence of dendritic cells.",1,exaggerates
29-006,'The results of this study provide reassurance that specialists treating patients with a heart attack can open more than one narrowed artery without increasing the total amount of heart damage.’,0,"Multivessel PCI in the setting of STEMI leads to a small increase in CMR-detected non-IRA MI, but total infarct size was not significantly different from an IRA-only revascularization strategy.",0,same
03-11-028-1,"A gene responsible for regulating chronic pain, called HCN2, has been identified by scientists at the University of Cambridge.",3,"Mice in which HCN2 was specifically deleted in nociceptors expressing Na(V)1.8 had normal pain thresholds, but inflammation did not cause hyperalgesia to heat stimuli.",0,exaggerates
10-11-003-1,TV food advertising increases children’s preference for unhealthy foods,3,Exposure to television food commercials enhanced high television viewers' preferences for branded foods and increased reported preferences for all food items (branded and nonbranded) relative to the low television viewers.,1,exaggerates
33-002,"“Our results show that reducing the amount of growth factor that’s available around the intraocular lens significantly impedes cell invasion and adds to the evidence in favour of open-bag cataract surgery,” continues Dr Wormstone. “Moreover, we found that vascular endothelial growth factor (VEGF) plays an important role in cell growth and survival. Therefore we believe that anti-VEGF treatment is a logical target for new drug treatments that could help enhance the effect of better lens design and placement, to prevent secondary cataract.”",3,"In particular, VEGF was found to regulate cell survival, growth and myofibroblast formation.",3,same
18-11-002-1,Scientists have discovered the first evidence linking brain function variations between the left and right sides of the brain to size at birth and the weight of the placenta. The finding could shed new light on the causes of mental health problems in later life.,1,"Our findings suggest that lateralization of cerebral activity is influenced persistently by early developmental experiences, with possible consequences for long-term neurocognitive function.",3,downplays
22-008,"The study, published in Science Translational Medicine, reveals how a protein that shapes the body’s response to stress also drives chronic pain and so offers new targets for future pain treatments.",3,This finding suggested that FKBP51 regulates chronic pain by modulation of glucocorticoid signaling.,3,same
15-11-026-1,"A cell therapy that could prevent transplanted organs being rejected, and remove the need for prolonged use of immunosuppressant drugs, has shown promise in early-stage studies in mice.",2,"Without further manipulation or selection, the resultant population delayed skin allograft rejection mediated by polyclonal CD4(+) effectors or donor-reactive CD8(+) T cell receptor transgenic T cells and inhibited both effector cell proliferation and T cell priming for interferon-γ production.",3,downplays
06-11-008-1,"Researchers in the University's College of Medical, Veterinary and Life Sciences have discovered that a class of chemotherapy drugs originally designed to inhibit key signaling pathways in cancer cells also kills the parasite that causes malaria.",3,"Here, we report that a protein kinase-mediated signalling pathway involving host RBC PAK1 and MEK1, which do not have orthologues in the Plasmodium kinome, is selectively stimulated in Plasmodium falciparum-infected (versus uninfected) RBCs, as determined by the use of phospho-specific antibodies directed against the activated forms of these enzymes.",3,same
20-11-007-1,"Scientists from the University of Warwick have discovered why a newly found form of cholesterol seems to be ‘ultra-bad’, leading to increased risk of heart disease.",3,"MG modification of LDL forms small, dense LDL with increased atherogenicity that provides a new route to atherogenic LDL and may explain the escalation of cardiovascular risk in diabetes and the cardioprotective effect of metformin.",2,exaggerates
25-118,"However, the smaller increases expected in Europe (due to the Aedes mosquitos not being indigenous in Europe) would be unlikely to be detected.",0,"Because of the rarity of microcephaly and discrepant diagnostic criteria, however, the smaller increases expected in Europe would probably not be detected.",0,same
06-11-012-1,Men living in deprived areas now suffer from higher levels of bowel cancer than those from more affluent areas Glasgow academics have found.,1,"Deprivation was associated with higher incidence rates of male, but not female, colorectal cancer before the implementation of a national bowel screening programme",1,same
16-11-002-1,"The study of 128 mammal species, including humans, shows that brain growth in babies is determined by the duration of pregnancy and how long they suckle.",3,"In support of the developmental cost hypothesis, we show that evolutionary changes in pre- and postnatal brain growth correlate specifically with duration of the relevant phases of maternal investment (gestation and lactation, respectively).",1,exaggerates
22-006,"People bereaved by the sudden death of a friend or family member are 65% more likely to attempt suicide if the deceased died by suicide than if they died by natural causes. This brings the absolute risk up to 1 in 10, reveals new UCL research funded by the Medical Research Council.",1,"Bereavement by suicide is a specific risk factor for suicide attempt among young bereaved adults, whether related to the deceased or not.",1,same
20-11-005-1,"Infants who have problems with persistent crying, sleeping and/or feeding – known as regulatory problems – are far more likely to become children with significant behavioural problems, reveals research published ahead of print in the journal Archives of Disease in Childhood.",1,"The meta-analyses suggest that children with previous regulatory problems have more behavioural problems than controls, particularly in multi-problem families.",1,same
14-11-029-1,Simple test to help diagnose bowel and pancreatic cancer could save thousands of lives,3,The algorithm has good discrimination and calibration and could potentially be used to help identify those at highest risk of pancreatic cancer to facilitate early referral and investigation.,2,exaggerates
03-11-035-1,Scientists identify cause of severe hypoglycaemia,3,"In heterologous cells, the mutant AKT2 was constitutively recruited to the plasma membrane, leading to insulin-independent activation of downstream signaling.",3,same
29-021,A five-year study by an international team led from the University of Leicester has found a way of ‘reversing’ symptoms of neurodegenerative diseases such as  Parkinson’s and Alzheimer’s – using fruit flies as test subjects.,3,"Critically, we find that treatment with a chemical TDO inhibitor is robustly protective in these models.",3,same
25-191,Coroners in England and Wales don’t seem able to agree on what caused a person’s death or whether the death merits an inquest or not—despite being faced with identical case information—reveals a small study published online in the Journal of Clinical Pathology.,1,Different coroners faced with identical case information arrived at widely different case outcomes ranging from no further investigation to finding numerous alternative verdicts.,1,same
25-158,"Financial ties between researchers and companies that make the drugs they are studying are independently associated with positive trial results, suggesting bias in the evidence base, concludes a study published by The BMJ today.",1,Financial ties of principal investigators were independently associated with positive clinical trial results.,1,same
25-192,"Active commuting by bicycle is associated with a substantial decrease in the risk of death from all causes, cancer and cardiovascular disease (CVD), compared with non-active commuting by car or public transport, finds a study in The BMJ today.",1,"Cycle commuting was associated with a lower risk of CVD, cancer, and all cause mortality.",1,same
03-11-042-1,Scan can detect 5p-sized growth that causes hypertension.,2,11 C-metomidate PET-CT is a sensitive and specific noninvasive alternative to AVS in the management of PHA.,3,downplays
14-11-007-1,"Pregnant non-smokers who breathe in the second-hand smoke of other people are at an increased risk of delivering stillborn babies or babies with defects, a study led by researchers at The University of Nottingham has found.",3,CONCLUSIONS: Pregnant women who are exposed to secondhand smoke are estimated to be 23% more likely to experience stillbirth and 13% more likely give birth to a child with a congenital malformation.,1,exaggerates
08-11-017-1,"A team of researchers, led by King’s College London and the University of Oxford, have found that a gene linked to type 2 diabetes and cholesterol levels is in fact a ‘master regulator’ gene, which controls the behaviour of other genes found within fat in the body.",3,Here we show that the type 2 diabetes and high-density lipoprotein cholesterol-associated cis-acting expression quantitative trait locus (eQTL) of the maternally expressed transcription factor KLF14 acts as a master trans regulator of adipose gene expression.,3,same
08-11-032-1,"People aged 30 or over who choose to re-train as barristers are at a significant disadvantage to younger applicants, according to new research from King’s College London.",1,"However, those aged 30 and above were still disadvantaged in securing pupillages when controlling for attainment and university.",1,same
25-203,"Complications of pregnancy, such as high blood pressure and infections, are linked to a heightened risk of early coronary heart disease in the young adult offspring, finds research published in the online journal Heart Asia.",1,"Offspring of mothers with complications during pregnancy have an increased risk for premature ACS in adulthood, which may be of particular relevance in populations in transition, where the incidence of both pregnancy-related morbidity and CVD are high.",1,same
08-11-018-1,Research led by King’s College London has discovered the first solid evidence that genetic variations on chromosome 3 may cause depression.,2,"The linkage signal identified was genome-wide significant after correction for the multiple phenotypes tested, although subsequent association mapping of the region in a genome-wide association study of a U.K. depression sample did no...",1,exaggerates
07-11-026-1,Mother’s BMI linked to fatter babies,1,Infant abdominal AT and liver lipid increase with increasing maternal BMI across the normal range.,1,same
33-007,Researchers discover a new type of communication between donor photoreceptors developed from stem cells and host photoreceptors in mice with retinal dystrophy,0,"Here, however, we show that while integration occurs the majority of donor-reporter-labelled cells in the host arises as a result of material transfer between donor and host photoreceptors.",3,downplays
02-11-015-1,Researchers have demonstrated that the Wnt/β-catenin signaling pathway plays a key role in encouraging the growth of VSMC in vivo.,3,"β-Catenin signaling was induced in the media and intima at 3 and 28 days after ligation, respectively, and was associated with VSMC proliferation and cyclin D1 expression.",1,exaggerates
