dataset,news_id,rating,title,original_title,news_source,source_link,review_link
HealthStory,story_reviews_00010,2,Fox spreads ‘breakthrough’ claim but no real reporting on peanut allergy treatment,"Potential life-saving peanut allergy drug on horizon, scientists say",FoxNews.com,https://www.foxnews.com/health/potential-life-saving-peanut-allergy-drug-on-horizon-scientists-say,https://www.healthnewsreview.org/review/fox-spreads-breakthrough-claim-but-no-real-reporting-on-peanut-allergy-treatment/
HealthStory,story_reviews_00011,3,Bloomberg uncritically touts ‘greater effectiveness’ of cell-based flu vaccine,There’s a Better Flu Shot,Bloomberg,https://www.bloomberg.com/news/articles/2018-11-16/flu-shot-gets-a-boost-from-dispensing-with-1940s-technology,https://www.healthnewsreview.org/review/bloomberg-uncritically-touts-greater-effectiveness-of-cell-based-flu-vaccine/
HealthStory,story_reviews_00012,1,Reuters rehashes Merck announcement on Keytruda trial for esophageal cancer,Reuters: Merck drug Keytruda succeeds in late-stage esophageal cancer trial,Reuters,https://uk.reuters.com/article/us-merck-co-study/merck-drug-keytruda-succeeds-in-late-stage-esophageal-cancer-trial-idUKKCN1NJ1LK,https://www.healthnewsreview.org/review/reuters-rehashes-merck-announcement-on-keytruda-trial-for-esophageal-cancer/
HealthStory,story_reviews_00013,2,CNN overstates evidence linking neck pulse measurements to increased dementia risk,"Five-minute neck scan can spot dementia 10 years earlier, say scientists",CNN,https://www.cnn.com/2018/11/12/health/dementia-blood-vessels-study-scli-intl/index.html,https://www.healthnewsreview.org/review/cnn-overstates-evidence-linking-strong-neck-pulse-to-increased-dementia-risk/
HealthStory,story_reviews_00014,2,Fox News regurgitates a hot mess from the UK Sun,"Artificial intelligence can predict Alzheimer’s 6 years earlier than medics, study finds",FoxNews.com,https://www.foxnews.com/health/artificial-intelligence-can-predict-alzheimers-6-years-earlier-than-medics-study-finds,https://www.healthnewsreview.org/review/fox-news-regurgitates-a-hot-mess-from-the-uk-sun/
HealthStory,story_reviews_00015,5,"Thoughtful and thorough, AP story looks at growing trend of using ketamine for depression",High hopes & hype for experimental depression drug ketamine,Associated Press,https://www.apnews.com/8f1a189bfde14cbf91179a60b900a81a,https://www.healthnewsreview.org/review/thoughtful-and-thorough-ap-story-looks-at-growing-trend-of-using-ketamine-for-depression/
HealthStory,story_reviews_00016,2,ABC News story perpetuates misinformation that new drug will prevent spread of flu,FDA approves new flu pill that can be taken after onset of symptoms,ABCNews.com,https://abcnews.go.com/Health/fda-approves-flu-medication-form-time-pill/story?id=58724046,https://www.healthnewsreview.org/review/abc-news-story-perpetuates-misinformation-that-new-drug-will-prevent-spread-of-flu/
HealthStory,story_reviews_00017,4,New York Times warns readers that new flu drug ‘is no miracle cure’,F.D.A. Approves New Drug for Flu,The New York Times,https://www.nytimes.com/2018/10/24/health/flu-pill-xofluza.html,https://www.healthnewsreview.org/review/new-york-times-warns-readers-that-new-flu-drug-is-no-miracle-cure/
HealthStory,story_reviews_00018,2,Litany of errors hampers Reuters story on experimental breast cancer drug,Novartis drug cut death risk by 35 percent in gene mutation breast cancer,Reuters,https://www.reuters.com/article/us-esmo-novartis-breast-cancer/novartis-drug-cut-death-risk-by-35-percent-in-gene-mutation-breast-cancer-idUSKCN1MU0M9,https://www.healthnewsreview.org/review/litany-of-errors-hampers-reuters-story-on-experimental-breast-cancer-drug/
HealthStory,story_reviews_00019,3,HealthDay speculates that experimental cystic fibrosis drug combo could be ‘breakthrough’ and ‘game-changing’,3-Drug Therapy Might Be Cystic Fibrosis 'Breakthrough',Health Day,https://consumer.healthday.com/respiratory-and-allergy-information-2/cystic-fibrosis-news-167/3-drug-therapy-might-be-cystic-fibrosis-breakthrough-738758.html,https://www.healthnewsreview.org/review/healthday-story-speculates-that-two-experimental-cystic-fibrosis-drugs-are-breakthrough-and-game-changing/
HealthStory,story_reviews_00020,3,"HealthDay touts nerve device as ‘more effective,’ but data is from unpublished study with no control group",New Nerve Stimulation Technique Might Relieve Back Pain,Health Day,https://consumer.healthday.com/bone-and-joint-information-4/backache-news-53/new-nerve-stimulation-technique-might-relieve-back-pain-738645.html,https://www.healthnewsreview.org/review/healthday-touts-nerve-device-as-more-effective-but-data-is-from-unpublished-study-with-no-control-group/
HealthStory,story_reviews_00021,4,Inquirer’s look at using Facebook to screen for depression emphasizes research ‘is still in very early stages’,Depression often goes undiagnosed. Researchers are turning to Facebook to change that.,The Philadelphia Inquirer,http://www2.philly.com/philly/health/facebook-predict-depression-mental-health-penn-study-20181015.html,https://www.healthnewsreview.org/review/inquirers-look-at-using-facebook-to-screen-for-depression-emphasizes-research-is-still-in-very-early-stages/
HealthStory,story_reviews_00022,2,Reuters once again rehashes drug company news release,J&J's Stelara succeeds in chronic bowel disease study,Reuters,https://www.reuters.com/article/us-johnson-johnson-study/jjs-stelara-succeeds-in-chronic-bowel-disease-study-idUSKCN1MJ1DW,https://www.healthnewsreview.org/review/reuters-once-again-rehashes-drug-company-news-release/
HealthStory,story_reviews_00023,3,"Doctor’s $620,000 conflict of interest not disclosed in Inquirer story on new migraine drugs",Migraine patients can now try three new drugs for prevention,The Philadelphia Inquirer,http://www2.philly.com/philly/health/migraine-new-drugs-for-prevention-erenumab-fremanezumab-20181009.html,https://www.healthnewsreview.org/review/doctors-620000-conflict-of-interest-not-disclosed-in-inquirer-story-on-new-migraine-drugs/
HealthStory,story_reviews_00024,5,AP offers strong reporting about the evidence for a drug treatment for moderate bone loss,Study suggests more older women may benefit from bone drugs,Associated Press,https://abcnews.go.com/Health/wireStory/study-suggests-older-women-benefit-bone-drugs-58209993?cid=clicksource_26_4_article%20roll_articleroll_hed,https://www.healthnewsreview.org/review/ap-offers-strong-reporting-about-the-evidence-for-a-drug-treatment-for-moderate-bone-loss/
HealthStory,story_reviews_00025,2,"Are bacteria useful as cancer ‘weapons,’ or far too early to know? Key context missing from HealthDay story",Doctors Use Bacteria as Weapon Against Cancer,Health Day,https://consumer.healthday.com/infectious-disease-information-21/bacteria-960/doctors-use-bacteria-as-weapon-against-cancer-738145.html,https://www.healthnewsreview.org/review/are-bacteria-useful-as-cancer-weapons-or-far-too-early-to-know-key-context-missing-from-healthday-story/
HealthStory,story_reviews_00026,2,Newsweek overlooks key limitation of study on vitamin D and childhood obesity,VITAMIN D: SUPPLEMENT LINKED TO WEIGHT LOSS IN OVERWEIGHT AND OBESE CHILDREN,Newsweek,https://www.newsweek.com/vitamin-d-supplement-linked-weight-loss-overweight-and-obese-children-1140838,https://www.healthnewsreview.org/review/newsweek-overlooks-key-limitation-of-study-on-vitamin-d-and-childhood-obesity/
HealthStory,story_reviews_00027,3,"Antidepressants and therapy may ease IBS, but Reuters Health story is unclear on extent of benefit","Antidepressants, psychotherapy may help ease irritable bowel syndrome",Reuters Health,https://www.reuters.com/article/us-health-ibs-psychology/antidepressants-psychotherapy-may-help-ease-irritable-bowel-syndrome-idUSKCN1M52YZ,https://www.healthnewsreview.org/review/antidepressants-and-therapy-may-ease-ibs-but-reuters-health-story-is-unclear-on-extent-of-benefit/
HealthStory,story_reviews_00028,3,STAT’s cheerleading coverage of prescription fish oil capsule lacks crucial context,"Amarin fish oil capsule shows dramatic benefit for cardiovascular patients, potentially upending market",STAT,https://www.statnews.com/2018/09/24/amarin-fish-oil-capsule-shows-dramatic-benefit-for-cardiovascular-patients/,https://www.healthnewsreview.org/review/stats-cheerleading-coverage-of-prescription-fish-oil-capsule-lacks-crucial-context/
HealthStory,story_reviews_00029,3,"NY Times hails MitraClip a ‘huge advance’ for heart failure, but independent sources might have said otherwise",Tiny Device Is a ‘Huge Advance’ for Treatment of Severe Heart Failure,The New York Times,https://www.nytimes.com/2018/09/23/health/heart-failure-valve-repair-microclip.html,https://www.healthnewsreview.org/review/ny-times-hails-mitraclip-a-huge-advance-for-heart-failure-but-independent-sources-might-have-said-otherwise/
HealthStory,story_reviews_00030,4,Newsweek story on Zika vaccine to zap brain cancer is fascinating–but needed more caution about mouse research,GLIOBLASTOMA: ZIKA VIRUS COULD DESTROY BRAIN CANCER THAT KILLED JOHN MCCAIN,Newsweek,https://www.newsweek.com/glioblastoma-zika-virus-could-destroy-brain-cancer-killed-john-mccain-1125530,https://www.healthnewsreview.org/review/newsweek-story-on-zika-vaccine-to-zap-brain-cancer-is-fascinating-but-needed-more-caution-about-mouse-research/
HealthStory,story_reviews_00031,2,One woman’s account of spinal cord stimulator skips realities of medical device safety in U.S.,Here’s how one woman used an implant to get some relief from chronic back pain,The Washington Post,https://www.washingtonpost.com/national/health-science/heres-how-one-woman-used-an-implant-to-get-some-relief-from-chronic-back-pain/2018/09/14/fa975bc8-b603-11e8-a7b5-adaaa5b2a57f_story.html?utm_term=.476fc8ec823d,https://www.healthnewsreview.org/review/one-womans-account-of-spinal-cord-stimulator-skips-realities-of-medical-device-safety-in-u-s/
HealthStory,story_reviews_00032,2,U.S. News churns out puff piece on medical marijuana app research,Study: Medical Marijuana Relieves Range of Symptoms With No Serious Side Effects,US News & World Report,https://www.usnews.com/news/health-care-news/articles/2018-09-11/study-medical-marijuana-relieves-range-of-symptoms-with-no-serious-side-effects,https://www.healthnewsreview.org/review/u-s-news-churns-out-puff-piece-on-medical-marijuana-app-research/
HealthStory,story_reviews_00033,1,Reuters story on kidney cancer drug makes us ask: How is this journalism?,"Merck KGaA, Pfizer's immuno-drug shown to alleviate kidney cancer",Reuters,https://www.reuters.com/article/us-merck-kidney-cancer/merck-kgaa-pfizers-immuno-drug-shown-to-alleviate-kidney-cancer-idUSKCN1LR1IY,https://www.healthnewsreview.org/review/reuters-story-on-kidney-cancer-drug-makes-us-ask-how-is-this-journalism/
HealthStory,story_reviews_00034,4,"Fish oil during pregnancy led to ‘stronger kids,’ but was the difference clinically meaningful?","Fish Oil Pills During Pregnancy Might Mean Stronger, Healthier Kids",Health Day,https://consumer.healthday.com/vitamins-and-nutrition-information-27/nutritional-supplements-health-news-504/fish-oil-pills-during-pregnancy-might-mean-stronger-healthier-kids-737405.html,https://www.healthnewsreview.org/review/healthday-story-describes-a-randomized-controlled-trial-as-if-its-an-observational-study/
HealthStory,story_reviews_00035,2,"In story about ‘latest generation’ of weight loss drugs, NBC overlooks doctors’ pharma ties",Weight-loss pills can help. So why don't more people use them?,NBCNews.com,https://www.nbcnews.com/health/health-care/weight-loss-pills-can-help-so-why-don-t-more-n905211,https://www.healthnewsreview.org/review/doctors-pharma-ties-not-disclosed-in-nbcs-story-that-promotes-more-use-of-weight-loss-drugs/
HealthStory,story_reviews_00036,2,U.S. News & World Report regurgitates news release on cannabidiol and psychosis,Cannabidiol Reduces Symptoms of Psychosis,US News & World Report,https://www.usnews.com/news/health-care-news/articles/2018-08-29/one-dose-of-cannabidiol-reduces-symptoms-of-psychosis,https://www.healthnewsreview.org/review/u-s-news-world-report-regurgitates-news-release-on-cannabidiol-and-psychosis/
HealthStory,story_reviews_00037,2,WSJ reporter claims a carotid artery scan ‘saved’ his life — but there’s no way to know that,The Scan That Saved My Life,The Wall Street Journal,https://www.wsj.com/articles/the-scan-that-saved-my-life-1535209201,https://www.healthnewsreview.org/review/wsj-reporter-claims-a-carotid-artery-scan-saved-his-life-but-theres-no-way-to-know-that/
HealthStory,story_reviews_00038,3,"Without an independent source, BuzzFeed’s story on a medical device for OCD doesn’t offer much beyond the news release",The FDA Says This Brain-Stimulating Device May Help People With Obsessive-Compulsive Disorder,BuzzFeed,https://www.buzzfeednews.com/article/theresatamkins/fda-has-approved-a-transcranial-magnetic-stimulation-device,https://www.healthnewsreview.org/review/without-an-independent-source-buzzfeeds-story-on-a-medical-device-for-ocd-doesnt-offer-much-beyond-the-news-release/
HealthStory,story_reviews_00039,2,"Newsweek’s premature optimism about experimental ovarian cancer drug overlooks costs, harms and limitations of the evidence","EXPERIMENTAL DRUG VISTUSERTIB COULD SHRINKS TUMORS IN 50% OF OVARIAN CANCER PATIENTS, STUDY SUGGESTS",Newsweek,https://www.newsweek.com/scientists-develop-drug-which-could-treat-lung-and-ovarian-cancers-1083747,https://www.healthnewsreview.org/review/just-like-the-news-release-newsweek-is-prematurely-optimistic-about-experimental-ovarian-cancer-drug/
HealthStory,story_reviews_00040,3,"Talazoparib touted as ‘promising,’ but is it any better than a similar breast cancer drug that’s already available?",Breast Cancer Drug Promising in Phase 3 Trial,Health Day,https://consumer.healthday.com/cancer-information-5/breast-cancer-news-94/breast-cancer-drug-promising-in-phase-3-trial-736788.html,https://www.healthnewsreview.org/review/talazoparib-touted-as-promising-but-what-makes-it-different-from-a-similar-breast-cancer-drug-thats-already-fda-approved/
HealthStory,story_reviews_00041,3,"Multigene test may find risk for common diseases, but there’s no evidence it will make anyone healthier","Multigene test may find risk for heart disease, diabetes and breast cancer",Associated Press,https://www.nbcnews.com/health/health-news/multigene-test-may-find-risk-heart-disease-diabetes-breast-cancer-n900356,https://www.healthnewsreview.org/review/multigene-test-may-find-risk-for-common-diseases-but-theres-no-evidence-it-will-make-anyone-healthier/
HealthStory,story_reviews_00042,3,How solid is the evidence behind the FDA-cleared ‘contraceptive app?’ ABC News doesn’t say, FDA approves marketing for a contraception app for the 1st time,ABCNews.com,https://abcnews.go.com/GMA/Wellness/fda-approves-marketing-contraception-app-1st-time/story?id=57146537,https://www.healthnewsreview.org/review/how-solid-is-the-evidence-behind-fda-cleared-contraceptive-app-abc-news-doesnt-say/
HealthStory,story_reviews_00043,4,"When n=1, it’s easy to jump to conclusions about a therapy working",Hyperbaric oxygen: The mysterious therapy that saved a cancer survivor from radiation side effects,The Philadelphia Inquirer,http://www.philly.com/philly/health/hyperbaric-oxygen-saved-him-from-radiation-injury-20180808.html?__vfz=medium%3Dsharebar,https://www.healthnewsreview.org/review/when-n1-its-easy-to-jump-to-conclusions-about-a-therapy-working/
HealthStory,story_reviews_00044,3,HealthDay neglects the potential harms of transplanting hepatitis-infected kidneys,Hepatitis-Infected Kidneys a Safe Option for Transplant: Study,Health Day,https://consumer.healthday.com/general-health-information-16/organ-transplant-news-509/hepatitis-infected-kidneys-a-safe-option-for-transplant-study-736521.html,https://www.healthnewsreview.org/review/healthday-neglects-the-potential-harms-of-transplanting-hepatitis-infected-kidneys/
HealthStory,story_reviews_00045,3,Newsweek prematurely reports ‘promise’ for ketamine as a treatment for depressed teens,KETAMINE SHOWS PROMISE AS TREATMENT FOR ADOLESCENTS WITH DEPRESSION,Newsweek,https://www.newsweek.com/ketamine-shows-promise-treatment-adolescents-depression-1054021,https://www.healthnewsreview.org/review/newsweek-prematurely-reports-promise-for-ketamine-as-a-treatment-for-depressed-teens/
HealthStory,story_reviews_00046,4,ABC News doesn’t oversell early research on blood test for depression,Could a blood test lead to new treatments for depression?,ABCNews.com,https://abcnews.go.com/Health/blood-test-lead-treatments-depression/story?id=56896507,https://www.healthnewsreview.org/review/abc-doesnt-oversell-early-research-on-blood-test-for-depression/
HealthStory,story_reviews_00047,4,‘But it comes with some big caveats:’ Vox is clear about drawbacks of new endometriosis drug,Women with endometriosis experience terrible pain. There’s finally a new treatment.,Vox,https://www.vox.com/2018/7/24/17608984/endometriosis-pain-symptoms-treatments-elagolix-orilissa,https://www.healthnewsreview.org/review/but-it-comes-with-some-big-caveats-vox-is-clear-about-drawbacks-of-new-endometriosis-drug/
HealthStory,story_reviews_00048,4,HealthDay provides needed details on side effects of THC-based drug studied for Alzheimer’s agitation,Could Pot-Linked Drug Help Ease Agitation in Alzheimer's?,Health Day,https://consumer.healthday.com/cognitive-health-information-26/alzheimer-s-news-20/could-pot-linked-drug-help-ease-agitation-in-alzheimer-s-736075.html,https://www.healthnewsreview.org/review/healthday-provides-needed-details-on-side-effects-of-pot-derived-drug-studied-for-alzheimers-agitation/
HealthStory,story_reviews_00049,4,It’s way too soon to know if melanoma blood test will save ‘thousands of lives’,"Experimental blood test could detect melanoma skin cancer early, study finds",CNN,https://www.cnn.com/2018/07/17/health/melanoma-skin-cancer-blood-test-intl/index.html,https://www.healthnewsreview.org/review/its-way-too-soon-to-know-if-melanoma-blood-test-will-save-thousands-of-lives/
HealthStory,story_reviews_00050,3,"All anecdote, no data: NPR’s take on high blood pressure and dementia",Worried About Dementia? You Might Want to Check Your Blood Pressure,NPR,https://www.npr.org/sections/health-shots/2018/07/16/628156948/worried-about-dementia-you-might-want-to-check-your-blood-pressure,https://www.healthnewsreview.org/review/all-anecdote-no-data-nprs-take-on-high-blood-pressure-and-dementia/
HealthStory,story_reviews_00051,3,A 50% reduction in suicide risk? NPR story overstates the benefits of ‘Safety Planning Intervention’,A Simple Emergency Room Intervention Can Help Cut Suicide Risk,NPR,https://www.npr.org/sections/health-shots/2018/07/11/628029412/a-simple-emergency-room-intervention-can-help-cut-future-suicide-risk,https://www.healthnewsreview.org/review/a-50-reduction-in-suicide-risk-npr-story-overstates-the-evidence-for-safety-planning-intervention/
HealthStory,story_reviews_00052,3,"Genetic testing to guide antidepressant choices: Big news coverage, but limited evidence",Which antidepressant is right for you? This genetic test could help,The Philadelphia Inquirer,http://www.philly.com/philly/health/genetic-testing-genesight-genecept-depression-pharmacogenomics-20180711.html,https://www.healthnewsreview.org/review/genetic-testing-to-guide-antidepressant-choices-big-news-coverage-but-limited-evidence/
HealthStory,story_reviews_00053,5,WSJ offers caution early and often in coverage of latest experimental Alzheimer’s drug,Drugmakers Call Experimental Alzheimer’s Drug Study Positive,The Wall Street Journal,https://www.wsj.com/articles/drugmakers-call-experimental-alzheimers-drug-study-outcome-positive-1530897640,https://www.healthnewsreview.org/review/wsj-offers-caution-early-and-often-in-coverage-of-latest-experimental-alzheimers-drug/
HealthStory,story_reviews_00054,3,A possible link between eyesight and cognitive function? Reuters Health summary is a little out of focus,"Maintaining healthy vision may help keep brain in shape, too",Reuters Health,https://www.reuters.com/article/us-health-cognition-vision/maintaining-healthy-vision-may-help-keep-brain-in-shape-too-idUSKBN1JU2M1,https://www.healthnewsreview.org/review/a-possible-link-between-eyesight-and-cognitive-function-reuters-health-summary-is-a-little-out-of-focus/
HealthStory,story_reviews_00055,4,"STAT suggests flu drug could ‘upend treatment,’ but there’s plenty to question about this claim",A flu drug — shown to reduce the duration of symptoms — could upend treatment in U.S.,STAT,https://www.statnews.com/2018/06/27/flu-drug-single-pill/,https://www.healthnewsreview.org/review/stat-suggests-flu-drug-could-upend-treatment-but-theres-plenty-to-question-about-this-claim/
HealthStory,story_reviews_00056,4,"NPR deftly summarizes results of early study using polio vaccine for brain cancer, except industry conflicts of interest",Doctors Try Genetically Modified Poliovirus As Experimental Brain Cancer Treatment,NPR,https://www.npr.org/sections/health-shots/2018/06/26/622610333/doctors-try-genetically-modified-poliovirus-as-experimental-brain-cancer-treatme,https://www.healthnewsreview.org/review/npr-deftly-summarizes-results-of-early-study-using-polio-vaccine-for-brain-cancer/
HealthStory,story_reviews_00057,4,Atypical patient anecdote throws off well-reported NBC News story on experimental brain cancer treatment,Modified polio vaccine helps fight deadly brain tumors,NBCNews.com,https://www.nbcnews.com/health/health-news/modified-polio-vaccine-helps-fight-deadly-brain-tumors-n886486,https://www.healthnewsreview.org/review/highly-atypical-patient-anecdote-throws-off-mostly-well-reported-nbc-news-story-on-experimental-brain-cancer-treatment/
HealthStory,story_reviews_00058,3,"FDA approves new marijuana-derived drug, but was the evidence solid? Washington Post doesn’t say","First marijuana-derived drug approved, will target severe epilepsy",The Washington Post,https://www.washingtonpost.com/news/to-your-health/wp/2018/06/25/first-marijuana-derived-drug-approved-will-target-severe-epilepsy/?utm_term=.ff089226f64a,https://www.healthnewsreview.org/review/fda-approves-new-drug-but-was-the-evidence-solid-washington-post-doesnt-say/
HealthStory,story_reviews_00059,4,Small ‘diabetes vaccine’ study: STAT provides lots of useful numbers for readers,Controversial researcher’s diabetes vaccine causes improvement in small study,STAT,https://www.statnews.com/2018/06/21/type-1-diabetes-vaccine-denise-faustman/,https://www.healthnewsreview.org/review/small-diabetes-vaccine-study-stat-provides-lots-of-useful-numbers-for-readers/
HealthStory,story_reviews_00060,3,One blood test to diagnose diabetes? HealthDay doesn’t address harms of overdiagnosis and overtreatment,One Blood Test Might Be Enough to Diagnose Diabetes,Health Day,https://consumer.healthday.com/diabetes-information-10/misc-diabetes-news-181/one-blood-test-might-be-enough-to-diagnose-diabetes-734895.html,https://www.healthnewsreview.org/review/one-blood-test-to-diagnose-diabetes-healthday-doesnt-address-harms-of-overdiagnosis-and-overtreatment/
HealthStory,story_reviews_00061,3,"Newsweek’s story on the 16:8 diet: It’s not much more than a news release rewrite, but it’s at least cautious",16:8 FASTING DIET LINKED TO WEIGHT LOSS AND HEALTH BENEFITS IN STUDY,Newsweek,http://www.newsweek.com/168-fasting-diet-linked-weight-loss-health-benefits-study-983832,https://www.healthnewsreview.org/review/newsweeks-story-on-the-168-diet-its-not-much-more-than-a-news-release-rewrite-but-its-at-least-cautious/
HealthStory,story_reviews_00062,3,Here’s one detail that should be included in almost all stories about cancer screening studies,NEW PROSTATE CANCER DNA SPIT TEST DEVELOPED BY SCIENTISTS,Newsweek,http://www.newsweek.com/new-prostate-cancer-dna-spit-test-developed-scientists-971788,https://www.healthnewsreview.org/review/heres-one-detail-that-should-be-included-in-almost-all-stories-about-cancer-screening-studies/
HealthStory,story_reviews_00063,4,BuzzFeed warns readers ‘a lot more work to be done’ to find out if experimental blood test can predict preterm birth,This Blood Test Could Help Predict If A Pregnancy Is At Risk For Premature Labor,BuzzFeed,https://www.buzzfeed.com/theresatamkins/pregnancy-blood-test-premature-preterm-labor?utm_term=.ohZW7qKl6#.qjjbg23Kj,https://www.healthnewsreview.org/review/buzzfeed-warns-readers-a-lot-more-work-to-be-done-to-find-out-if-experimental-blood-test-can-predict-preterm-birth/
HealthStory,story_reviews_00064,2,"In story on texting program for chemo patients, Reuters Health keeps most study details on the DL", Automatic texting helps ease stress of chemotherapy in breast cancer patients,Reuters Health,https://www.reuters.com/article/us-health-cancer-breast-texting/automatic-texting-helps-ease-stress-of-chemotherapy-in-breast-cancer-patients-idUSKCN1J02L6,https://www.healthnewsreview.org/review/can-texting-help-chemo-patients-reuters-health-story-keeps-most-study-details-on-the-dl/
HealthStory,story_reviews_00065,1,NPR (yet again) writes uncritically about ketamine for mental illness,From Chaos To Calm: A Life Changed By Ketamine,NPR,https://www.npr.org/sections/health-shots/2018/06/04/615671405/from-chaos-to-calm-a-life-changed-by-ketamine,https://www.healthnewsreview.org/review/npr-yet-again-writes-uncritically-about-ketamine-for-mental-illness/
HealthStory,story_reviews_00066,2,Numerous problems plague Guardian’s coverage of ‘holy grail of cancer research’,'Holy grail of cancer research': doctors positive about early detection blood test,The Guardian,https://www.theguardian.com/society/2018/jun/01/doctors-welcome-possible-holy-grail-of-cancer-research,https://www.healthnewsreview.org/review/numerous-problems-plague-guardians-coverage-of-holy-grail-of-cancer-research/
HealthStory,story_reviews_00067,4,LA Times provides careful take on early brain/diabetes research–except for the headline,"Deep brain stimulation may offer treatment for type 2 diabetes, study suggests",Los Angeles Times,http://www.latimes.com/science/sciencenow/la-sci-sn-brain-stimulation-diabetes-20180526-story.html,https://www.healthnewsreview.org/review/deep-brain-stimulation-diabetes/
HealthStory,story_reviews_00068,1,HealthDay rehashes a news release claiming researchers have found new type of vertigo,Newly Identified Form of Vertigo Responds to Treatment,Health Day,https://consumer.healthday.com/diseases-and-conditions-information-37/dizziness-and-vertigo-news-205/newly-identified-form-of-vertigo-responds-to-treatment-734083.html,https://www.healthnewsreview.org/review/healthday-rehashes-news-release-claiming-researchers-have-found-new-type-of-vertigo/
HealthStory,story_reviews_00069,4,A study that may help reduce overtreatment of breast cancer gets solid write-up by Bloomberg,Study Finds More Isn't Better for Roche Breast Cancer Drug,Bloomberg,https://www.bloomberg.com/news/articles/2018-05-16/study-finds-more-isn-t-better-for-widely-used-breast-cancer-drug,https://www.healthnewsreview.org/review/a-study-that-may-help-reduce-overtreatment-of-breast-cancer-gets-solid-write-up-by-bloomberg/
