Titulo,Subtitulo,Noticia,Categoria,Data,Autor,URL
"

Vídeo mostra milagre do sol piscando em Medjugorje #boato 
","Boato – Em Medjugorje, na Bósnia e Herzegovina, Sol pisca no céu durante celebração religiosa. Fiéis dizem se tratar de um milagre.",urgente medjugorje sol piscar dia 2\09\2019 mensagem extraordinário senhor vidente mirjana dragicevic soldar dia setembro medjugorije querido filho rezar rezar o terçar dia coroar florir unir mãe s dor sofrimento desejo e esperançar apóstolo amor graça e amor filhar e pedir o oração … apóstolo amor o forçar oração realizar o coração intenso e cheio amor transformar o mundo filho rezar rezar rezar ” compartilhar inscreva-se apertar o sino notificação vídeo canal deixar o like e o comentário,entretenimento,17/09/2019,"
Kyene Becker ",https://www.boatos.org/religiao/video-milagre-do-sol-piscando-medjugorje.html
É #FAKE imagem que mostra Doria usando máscara com bandeira da China,"Circula nas redes sociais uma montagem que mostra o governador de São Paulo, João Doria, usando uma máscara estampada com a bandeira chinesa. Na verdade, a máscara que ele usava era preta.",circular rede social foto governador paulo joão doria psdb votar eleição municipal d domingo máscara estampar o bandeiro chino o imagem fake rede social o governador publicar vídeo o foto tirar durante caminhar o prefeito e candidatar o reeleição paulo brunir cova psdb e o mulher bia doria publicação o máscara político tucano preto bia doria postar rede social foto o o colégio eleitoral o maridar e o máscara doria preto,mundo, 15/11/2020," Por Laís Modelli, G1 ",https://g1.globo.com/fato-ou-fake/noticia/2020/11/15/e-fake-imagem-que-mostra-doria-usando-mascara-com-bandeira-da-china.ghtml
"
  Não há relação comprovada entre casos de paralisia facial e vacina da Pfizer contra covid-19","Em transmissão ao vivo feita no último dia 12 de dezembro no Facebook, o enfermeiro Anthony Ferrari Penza alerta que a vacina da Pfizer contra a covid-19 causa paralisia facial e choque anafilático. O vídeo teve 47 mil compartilhamentos até o momento. No entanto, essa afirmação é enganosa porque os casos de paralisia e alergias graves são numericamente baixos ao se considerar o total de pessoas que já tomaram a vacina sem ter qualquer tipo de reação adversa. Dados do ensaio clínico do imunizante apontam que somente quatro pessoas entre um pouco mais de 18.000 (ou 0,022%) desenvolveram paralisia facial, sem que fosse possível atribuí-la com certeza às vacinas.Envie-nos por WhatsApp Email",“ perigar perigar perigar vacinar covid causar paralisia facial avisar ” alertar o texto acompanhar ovídeo “ vir outro alertar população brasil ... cidadão vacinar pfizer paralisia bell ... vacinar existir pessoa defender pessoa chocar anafilático profissional saudar quase morrer cidadão paralisia bell imaginar vacinar pfizer coronavac o chino utilizar chino ... imaginar milhão e milhão e milhão brasileiro ” afirmar o enfermeiro vídeo o vídeo circular o brasil debater o vacinação o covid-19 deixar morto país e milhão infectar,brasil,22/12/2020 às 19:42,"AFP Brasil, AFP França",https://checamos.afp.com//nao-ha-relacao-comprovada-entre-casos-de-paralisia-facial-e-vacina-da-pfizer-contra-covid-19
É #FAKE que Gleisi Hoffmann tuitou faixa com frase 'residência livre de armas',A imagem fake passou a circular após decreto de Bolsonaro que facilita a posse de armas.,circular rede social post atribuir presidente pt senador gleisi hoffmann recomendar colocar faixar externar casar o frase residência livrar armar o informação fake o print passar o circular dia o presidente jair bolsonaro assinar o decretar facilitar o posse armar o assessoria pt informar o foto publicar perfil presidente o tuíte atribuir o gleisi montagem e corresponder contar oficial senador twitter verificar o pesquisar imagem publicar tuíte falsar levar o foto casar vítima homicídio e publicar jornal alagoa,política, 16/01/2019," Por Roney Domingos, G1 ",https://g1.globo.com/fato-ou-fake/noticia/2019/01/16/e-fake-que-gleisi-hoffmann-tuitou-faixa-com-frase-residencia-livre-de-armas.ghtml
"Em live, Bolsonaro mente sobre CoronaVac e apuração de votos  ",,defeso votar impresso o presidente jair bolsonaro apresentar suar live hoje informação falso sobrar o processar apuração resultar eleição pelar urna eletrônica bolsonaro o apuração feito dúzia pessoa o verdade o contagem feito máquina — o urna eletrônicas o presidente voltar o alegar falsamente o coronavac comprovação científico e fase experimental o falir presidente ignorar resultar pesquisar sobrar o eficácia e o efetividade vacinar aprovação parir emergencial anvisa agência nacional vigilância sanitário abaixar o o uol conferir checar,política,22/07/2021 21h16Atualizada em 22/07/2021 21h55 ,Juliana Arreguy e Beatriz Montesanti,https://noticias.uol.com.br/confere/ultimas-noticias/2021/07/22/em-live-bolsonaro-mente-sobre-contagem-de-votos-e-resultados-da-coronavac.htm
"

Kamala Harris usou seringa falsa para tomar vacina contra Covid-19 #boato 
","Boato – A vice-presidente eleita dos Estados Unidos, Kamala Harris, fingiu que tomou a vacina contra Covid-19. Ela tomou a injeção com uma seringa falsa.",kamala harris fingir tomar vacinar e tomar fingimento puro querer tomar farsa kamala harris vice-presidente eleito unir fingir tomar o vacinar o agulhar dobrar o tomar o vacinar tomar o trás d vídeo o viçar presidente fraudar eua kamala harris “ vacinar o kamala harris tomar tomar ” agulhar dobrável,mundo,03/01/2021,"
Edgard Matsuki ",https://www.boatos.org/mundo/kamala-harris-seringa-falsa-tomar-vacina-contra-covid-19.html
"

Jovem leva choque em celular carregando e morre eletrocutada, mostra vídeo #boato 
",Boato – Vídeo mostra o perigo de se usar o telefone celular com fone de ouvido enquanto ele está carregando. Menina levou choque com celular e morreu eletrocutada.,jovem morrer eletrocutada o o utilizar telefonar celular conectar tomar “ pai deixar filho utilizar o celular conectar tomar fatal”antes morrer o jovem divertir ouvir músico e brincar o aparelhar telefonar celular .ainda apurar ocorrer o fato e informações.adolescente morrer eletrocutada durante celular carregar tomar garoto morrer eletrocutado causar celular carregador tomar urgente mulher morrer eletrocutada o o utizar o celular conectar tomar,brasil,16/05/2019,"
Edgard Matsuki ",https://www.boatos.org/brasil/jovem-choque-celular-carregando-video.html
estranhar “ reptilíneo ” filmar atravessar umar estrar,,o dia março programar chamar “ tricotar ” redar tv exibir quadrar chamar “ márcio sensitivo ” n quadrar o autodenominado sensitivo márcio fernandes “ analisar ” vídeo taxar comer “ paranormal ” apresentador programar o vídeo umar mau resolução nitidamente ampliar e mencionar nenhum gravar conferir o abaixar o 40:25,entretenimento,11/04/2019,marco faustino,https://www.e-farsas.com/um-estranho-ser-reptilineo-foi-filmado-atravessando-uma-estrada-2.html
É #FAKE que diretor da OMS fez alerta em coletiva sobre máscaras importadas da China e da Índia infectadas pelo novo coronavírus,Vídeo de uma entrevista de Tedros Ghebreyesus tem circulado com legendas falsas.,circular rede social vídeo trecho entrevisto diretor-geral organização mundial saudar oms tedros ghebreyesus o legendar falir máscara fabricar índio e chino contaminar o coronavírus o vídeo original quase horar e duração coletiva imprensar diretor oms datar dia abril ocasião tedros ghebreyesus tratar diverso assunto relativo o o coronavírus o panorama atual pandemia mundo o esforçar oms distribuir máscara cirúrgico e equipamento proteção profissional país dificuldade adquiri-los o flexilibização isolamento país e o realização teste paciente internar hospital espalhar mundo trecho destacar mensagem falso conferir intervalar 54’51 ” e 55’53 ” vídeo original o diretor o o falar importância olhar vítima covid-19 pensar vidar perdido individualmente afirmar “ evitar tragédia vírus gente entender país desenvolvido chegar o conclusão errar conhecê-lo e problema e o gente alertar surpreender país rico o gente e acontecer ” frente lamentar “ centena milhar morte ” e concluir “ vidar precioso ”,saúde, 27/04/2020," Por Roberta Pennafort, CBN ",https://g1.globo.com/fato-ou-fake/coronavirus/noticia/2020/04/27/e-fake-que-diretor-da-oms-fez-alerta-em-coletiva-sobre-mascaras-importadas-da-china-e-da-india-infectadas-pelo-novo-coronavirus.ghtml
"
  No início do carnaval de 2020 ainda não havia casos registrados de covid-19 no Brasil ","Voltaram a circular nas redes sociais em 2021 publicações alegando que os governadores não cancelaram o carnaval de 2020, mesmo após o presidente Jair Bolsonaro ter decretado o estado de emergência no país devido ao novo coronavírus. As postagens, compartilhadas mais de 10 mil vezes desde abril do ano passado, também sugerem que, ao contrário de Bolsonaro, os governadores teriam “assumido o risco” da propagação da covid-19. Elas omitem, entretanto, que o decreto não determinava a suspensão de eventos e que, quando o carnaval começou, ainda não havia sido registrado nenhum caso da doença no Brasil. Envie-nos por WhatsApp Email",“ irresponsável bolsonaro decretar emergência dia fev/2020 dia carnaval governador assumir o riscar e cancelar o carnaval ” o texto publicação compartilhar facebook instagram e twitter o emergência citar publicação declarar portar n ° fevereiro ministrar saudar luiz henrique mandetta “ decorrência infecção humano coronavírus ” declaração emergência saudar público o texto portar estabelecer o centrar operação emergência saudar público coe-ncov mecanismo nacional gestão coordenar respostar emergência nacional e indicar competência haver nenhum trecho d portar referência o o cancelamento evento público privar território nacional,brasil,22/04/2021 às 22:59,AFP Brasil,https://checamos.afp.com//no-inicio-do-carnaval-de-2020-ainda-nao-havia-casos-registrados-de-covid-19-no-brasil
"

John Piper, pastor norte-americano, elogia Bolsonaro e o compara a Trump #boato 
","Boato – Em vídeo, pastor John Piper elogia Bolsonaro, o compara a Donald Trump e afirma que o diabo e a Globo querem impedir a mudança do Brasil. ",“ o sociedade acima elitista tomar contar sociedade e donald trump ninguém político o homem o respeitar negócio agressivo e o esquerdo perder o eleição claramente unir querer mudança e donald trump trazer mudança e crer unir e o brasil caminhar junto pra naturalmente e espiritualmente falar e lula e dilma bill e hillary clinton e o obama o brasil clamar mudança e deus mandar alguém frágil fraco deus mandar homem durão mensagem duro e falir o o coração pessoa o voz brasil deus abençoar ungir bolsonaro e o diabo o diabo tomar voz o voz mudança ah cristão ah donald trump cristão deus alguém cristão claro o bíblia falir o coração rei mão deus deus assírio bíblia mudar nação e deus bolsonaro mudar ideia geração brasil o funcionar horar mudança e bolsonaro apoiar trump vir mudança pastorar falir o brasil início falar bolsonaro e falar novamente e hum achar e matar bolsonaro o cristianismo – o galera cristão – vir juntar tonar pessoa idear pensar ah o corrupção matar o voz opinião escutar bolsonaro falar ler o falir traduzir o falir e donald trump e mim empolgar o mídia globo cnn mudança o corrupção permanecer e mudar algum s o martelar e bater destruir e deixar deus recriar brasileiro inteligente brasileiro inteligente e juntar tornar forte e crer o tá acontecer o bolsonaro unificar o nação e o diabo medo o esquerdo medo eclesiastes capítulo versículo o coração justar inclinar o deus conservador deus agressivo clamar mudança mandar joão batista enviar jesus enviar isaías enviar ezequiel e deus enviar trump e crer enviar bolsonaro amém ”,entretenimento,26/02/2020,"
Kyene Becker ",https://www.boatos.org/religiao/john-piper-pastor-elogia-bolsonaro-trump.html
"

Padre Marcelo Rossi grava áudio sobre situação do Brasil, Bolsonaro e comunismo #boato 
","Boato – Em áudio divulgado no WhatsApp, o padre Marcelo Rossi falou sobre a situação do Brasil e disse que só Bolsonaro pode salvar o país do comunismo. ",ouvir o padrar marcelo rossi falar o atual situação país e bolsonaro deixar repassar contatos falir compartilhar compartilhar o país mão …,entretenimento,28/07/2020,"
Edgard Matsuki ",https://www.boatos.org/religiao/padre-marcelo-rossi-grava-audio-brasil-bolsonaro-comunismo.html
Covid: Estudo belga não prova eficácia da cloroquina no tratamento precoce  ,,verdade estudar belga comprovar o eficácia hidroxicloroquina tratamento precoce covid-19 o afirmação feito deputar marcar feliciano republicanos-sp página facebook.o deputar compartilhar o link texto site conexão político estudar realizar bélgica 8.075 participante o pesquisar realmente existir apesar redução mortalidade covid-19 paciente medicar dose hidroxicloroquina insuficiente levar o mudança o recomendação drogar combater o o coronavírus o medicamentar continuar eficácia comprovar d o estudar analisar paciente diferente fase doença e receber o drogar início manifestação sintoma,mundo,02/09/2020 18h35 ,"Ao contrário do que disse, Bolsonaro assinou lei que prevê vacina 'à força'  ",https://noticias.uol.com.br/comprova/ultimas-noticias/2020/09/02/covid-estudo-belga-nao-prova-eficacia-da-cloroquina-no-tratamento-precoce.htm
"

Marcelo Freixo lamenta a morte de Elias Maluco em publicação no Twitter #boato 
","Boato – Após o anúncio da morte do traficante Elias Maluco, o deputado federal Marcelo Freixo lamentou a morte dele em publicação no Twitter. Ele disse que cobrará investigação, que o PSOL fará um funeral digno e tentou levantar a hashtag #SomosTodosEliasMaluco.",marcelo freixo receber tristeza o notícia morder amigar ídolo o traficante elias malucar irar cobrar rigoroso investigação o fato lavar morte cela presídio federal chão o psol providenciar funeral dignar familiar e amigo prestar e merecido homenagem o líder tráfico e comunidade complexo alemão somostodoseliasmaluco,política,23/09/2020,"
Edgard Matsuki ",https://www.boatos.org/politica/marcelo-freixo-lamenta-morte-elias-maluco-twitter.html
"

TSE vendeu a eleição em São Paulo para Boulos e a esquerda #boato 
",Boato – O TSE vendeu a eleição municipal em São Paulo para o candidato Guilherme Boulos e a esquerda. Foi por isso que houve atraso nas urnas.,"apostar achar normal o atrasar resultar urna divulgar o escândalo mundo suspeitar explicar o razão candidatar russomano declarar o seguinte frase “ pessoa o acontecer eleição ficar enojadas”.todos brasileiro ficar chocar e triste eleito guilherme boulos sp eleição municipal dever o expor abaixar o notícia mão investigar rádio e jornal o brasil e estrangeiro especificamente wall street journal of americas e o gazzeta delo sport e sair mídia provar colhido e confirmar fatos.fato comprovar otsevendeu o eleição o esquerdo candidato paulistano avisar s 13:00 dia novembro dia 1º turno reunião envolver o sr luísrobertobarroso único o presidente tse comparecer o preleção candidato o governador joão dório o sr luís inácio lula silvar supervisor esquerdo e o sr ronald rhovald representante patrocinador diebold candidato reservar permanecer isolamento lobby hotel o princípio contrariar candidato recusar o trocar o prefeitura municipal governar estadual 2022.a aceitação vir pagamento total prêmios us$ 70.000,00 candidatar bônus us$ 400.000,00 candidato e integrante total us$ 23.000.000,00 e milhão dólar empresar diebold d candidato aceitar o contratar o empresar diebold ano base prêmios candidato elite esquerdo o lula pt ciro pdt marcelo freixo psol e haddad pt.mesmo russomano recusar o aceitar o obrigar o presidente tse barroso o escolher o candidatar brunir cova russomano cair pesquisar notícia divulgar s 13:30 centrar imprensar e s 14:15 alterar o prognóstico 2º turno o situação resolvido o representante diebold ameaçar retirar patrocínio vitalício o o candidatar avaliar us$ 90.000.000,00 noventa milhão dólar o o longo carreira.assim combinou-se o derrotar durante o ‘ 2º turno ’ prorrogação morte súbito o apatia abater candidato titular eleitor absolutamente participar d negociação marcar falho simples candidato paulista voto o sr barroso presidente tse aplaudir o colaboração candidato paulistano o eleição municipal trazer equilíbrio paulo alto taxar desempregar jamais registrar n cidade agravar recente introdução bolsonarismo.garantiu o o sr mamãe falar apoiador kim kataguiri o candidatar facilitar o prefeitura gentileza passar mensagem o pessoa conhecer o sujeira rondar o política!seria verdade duvidar esquerdo viva?stf o fechar mesa ladrão",política,17/11/2020,"
Edgard Matsuki ",https://www.boatos.org/politica/tse-vendeu-eleicao-sao-paulo-para-boulos-esquerda.html
"

Gargarejo com água quente, sal e vinagre cura o coronavírus #boato 
","Boato – Fazer gargarejo com água quente, sal e vinagre pode curar o coronavírus. Antes de chegar até o pulmão, o vírus fica na garganta por até quatro dias, quando começam a tosse e dor na garganta. Com essa receita, ele é eliminado ali mesmo.",“ o corona vírus alcançar o pulmão permanecer garganta dia o o pessoa comedir o tossir e dor garganta tomar água e gargarejar água morno sal vinagrar o vírus eliminar espalhar informação salvar alguém informação ”,saúde,17/03/2020,"
Raiane Gonoli ",https://www.boatos.org/saude/gargarejo-agua-sal-vinagre-cura-coronavirus.html
"
  Não foram identificadas ligações entre Manuela D’Ávila e Adélio no dia da facada contra Bolsonaro","Publicações que asseguram que a ex-candidata à Vice-Presidência Manuela D’Ávila (PCdoB) ligou 18 vezes para Adélio Bispo no dia do atentado contra o então candidato à Presidência Jair Bolsonaro em Juiz de Fora (MG) foram compartilhadas mais de 20 mil vezes em redes sociais desde setembro de 2018. Mas a alegação, que voltou a circular em 2021, é falsa. À AFP, a Polícia Federal de Minas Gerais informou que as ligações “não foram comprovadas”.Envie-nos por WhatsApp Email",“ mulher ligar adélio dia esfaqueamento bolsonaro ” o texto sobrepor o imagem d’ávila publicação começar o circular adélio bispar esfaquear bolsonaro evento campanha juiz minar gerar setembro época d’ávila viçar chapar fernando haddad pt disputar palácio planalto o conteúdo voltar o compartilhar manuela d’ávila candidato o prefeito portar alegrar e novamente maio adélio bispar deter dia atentar setembro e submeter o inquérito policiar o o contrário alegar rede consulto o documento público relacionar o investigação localizar menção o o nome d’ávila,brasil,26/05/2021 às 22:05,AFP Brasil,https://checamos.afp.com//nao-foram-identificadas-ligacoes-entre-manuela-davila-e-adelio-no-dia-da-facada-contra-bolsonaro
Médico distorce informações sobre a covid-19 em vídeo,,haver evidência o máscara tornar o sangue ácido e consequentemente debilitar o imunológico e haver comprovação eficácia o coronavírus medicamento citar médico vídeo viralizou,saúde,2020/07/02,Comprova,https://projetocomprova.com.br/publicações/medico-distorce-informacoes-sobre-a-covid-19-em-video/
"

STF atende pedido de PT, PSOL, PCdoB, DEM e PSDB e proíbe hospitais militares de atenderem pacientes com Covid-19 #boato 
","Boato – PT, PSOL, PCdoB, DEM e PSDB pedem e STF acata pedido para proibir que hospitais militares atendam pacientes com Covid-19.",“ hospital militar começar o atender paciente covid o pandemia acabar o stf barrar pedir barrar pt psol pc b dem psdb acordar brasil ” “ o brasil enlouquecer tirar pé metralhar pé lacraia esbórnia ”,política,,"
Kyene Becker ",https://www.boatos.org/politica/stf-pedido-pt-psol-pcdob-dem-psdb-proibe-hospitais-militares-pacientes-covid-19.html
"

Luc Montagnier diz que todas as pessoas vacinadas morrerão em dois anos #boato 
",Boato – O vencedor do Prêmio Nobel Luc Montagnier afirmou que não há chance de sobrevivência para pessoas que receberam vacinas e que todos os vacinados morrerão em dois anos.,pessoa vacinar morrer ano o prêmio nobel luc montagnier confirmar haver chance sobrevivência pessoa receber vacinar entrevisto chocante o virologista mundo afirmar rodeio “ haver esperançar e nenhum tratamento vacinar dever preparar cremar corpo ” o gênio científico apoiar afirmação virologistas eminente estudar ingrediente vacinar “ morrer dever o o aumentar dependente anticorpo o ” pessoa receber o picar vibora magnetizar … o significar picar existir magneto cérebro e corpo controlar activação pleno g o cumprimentar profecia profeta daniel daniel balançar vidar arrependa-se pecar e volte-se o criador e filhar jesus cristo yahushua hamaschiach o único tirar d matrix diabólico e,saúde,27/05/2021,"
Edgard Matsuki ",https://www.boatos.org/saude/luc-montagnier-diz-todas-pessoas-vacinadas-morrerao-dois-anos.html
o nestlé doar caixa leite condensar parir o forçar armar,,o texto surgir o redar social o janeiro e mostrar umar notar divulgar pelar empresar nestlé afirmar irar doar caixa leite condensar parir o forçar armar agradecimento campanha marketing o nome produto o leite moço gratuitamente o país,entretenimento,30/01/2021,gilmar lopes,https://www.e-farsas.com/a-nestle-doou-8-mil-caixas-de-leite-condensado-para-as-forcas-armadas.html
"

Rodrigo Pacheco, presidente do Senado, acatou projeto do voto impresso e colocou para votação #boato 
","Boato – O presidente do Senado, Rodrigo Pacheco, acatou o projeto de voto impresso e abriu votação pública no site do Senado. Divulgue porque está acabando! ",versão o pres senado rodrigar pacheco acatar o projeto do”voto auditável”e colocar o site senado p consulto público n tá divulgar e o esquerdo tá votar p parecer q o brasileiro n querer p continuar o manipulação resultar eleição seguir precisar urgentemente mostrar o vontade votar ” ” perder suspeito enquete versão urgente o presidente senado federal rodrigar pacheco acatar o projeto “ votar impresso ” e o colocar o site senado parir consulto público divulgar e o bolsonaristas votar “ ” massa parir parecer o brasileiro querer e haver manipulação resultar o eleição precisar urgentemente mostrar o vontade votar “ ” parir desmascarar farsa clicar o link abaixar e seguir o instrução casar necessário cadastre-se id=132598 obs o votar impresso ganhar virar o jogar pessoal divulgar o o querer permitir o manipulação votar o eleição,política,03/07/2021,"
Carol Lira ",https://www.boatos.org/politica/rodrigo-pacheco-senado-acatou-voto-impresso.html
"

Irmão Fabio Schuartz e 22 missionários vão ser mortos no Afeganistão amanhã #boato 
","Boato – 22 missionários, incluindo o irmão Fabio Schuartz, vão ser mortos amanhã por afegãos islâmicos. Vamos orar por eles.",orar missionário condenar o morte d irmão fabio schuartz missionário cidade niterói rj morto amanhã afegão islâmico demorar e passar mensagem rápido pessoa orar também.pastor márcio batista niteroi postar pedir oração e tb repassar pessoa orar importar o religião orar humanar campar levar o palavra senhor,entretenimento,05/05/2019,"
Edgard Matsuki ",https://www.boatos.org/religiao/fabio-schuartz-22-missionarios-afeganistao.html
